wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,1.000000000000000000e+00,2.220446049250313081e-16,-1.000000000000000000e+00,1.000000000000000222e+00,2.220446049250313081e-16,-1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.255922571725707294e-04,-1.000362598697020822e+00,9.996370064398478750e-01,1.088190954193392432e-03,-1.000000000000000000e+00,9.999996051368686967e-01,1.088190954193392432e-03,-1.000000000000000000e+00,9.999996051368686967e-01,-3.625986970208217031e-04,9.959995999599959848e-01,1.000000000000000000e+00
1.244195110332591420e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.432968964547241542e-01,-1.063918320590638844e+00,9.206214241359145234e-01,2.072152170453629982e-01,-1.000000000000000000e+00,9.845397447265533675e-01,2.072152170453629982e-01,-1.000000000000000000e+00,9.845397447265533675e-01,-6.391832059063884408e-02,2.079207920792078834e-01,1.000000000000000000e+00
1.250478924021139748e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.440168514998058924e-01,-1.064200120868876720e+00,9.201832693690701337e-01,2.082169723686826124e-01,-1.000000000000000000e+00,9.843833902379468537e-01,2.082169723686826124e-01,-1.000000000000000000e+00,9.843833902379468537e-01,-6.420012086887671998e-02,2.039203920392038683e-01,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.568565935614531059e-01,-1.129475103580364070e+00,7.726185100189105759e-01,4.863316971418171764e-01,-1.000000000000000000e+00,9.020936135992746463e-01,4.863316971418171764e-01,-1.000000000000000000e+00,9.020936135992746463e-01,-1.294751035803640704e-01,-9.997999799979995217e-01,1.000000000000000000e+00
5.234416802560851734e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.771931667238601182e-01,-1.154700524130855221e+00,5.775073574069946591e-01,7.318936908547153397e-01,-1.000000000000000000e+00,7.322078815378498806e-01,7.318936908547153397e-01,-1.000000000000000000e+00,7.322078815378498806e-01,-1.547005241308552215e-01,3.323332333233328661e-01,1.000000000000000000e+00
5.768540966087468691e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.297618941057904207e-01,-1.153063485375673602e+00,5.233015912698826266e-01,7.828253794814640232e-01,-1.000000000000000000e+00,6.763650766455562291e-01,7.828253794814640232e-01,-1.000000000000000000e+00,6.763650766455562291e-01,-1.530634853756736025e-01,6.723672367236721570e-01,1.000000000000000000e+00
5.774824779776017714e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.303699485308179584e-01,-1.153024634338827070e+00,5.226546858080085567e-01,7.833945828696450286e-01,-1.000000000000000000e+00,6.756793201468356269e-01,7.833945828696450286e-01,-1.000000000000000000e+00,6.756793201468356269e-01,-1.530246343388270702e-01,6.763676367636763942e-01,1.000000000000000000e+00
5.969623004121019649e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.490949895769042577e-01,-1.151594513330698621e+00,5.024995237537940307e-01,8.006895029076028791e-01,-1.000000000000000000e+00,6.540940370844926521e-01,8.006895029076028791e-01,-1.000000000000000000e+00,6.540940370844926521e-01,-1.515945133306986214e-01,8.003800380038006423e-01,1.000000000000000000e+00
5.975906817809567562e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.496949603380359761e-01,-1.151541101702121761e+00,5.018461413640852298e-01,8.012360620401577371e-01,-1.000000000000000000e+00,6.533872430662069908e-01,8.012360620401577371e-01,-1.000000000000000000e+00,6.533872430662069908e-01,-1.515411017021217610e-01,8.043804380438044355e-01,1.000000000000000000e+00
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.787746475840319427e-01,-1.148367381239590035e+00,4.695927336555576481e-01,8.271420288236219776e-01,-1.000000000000000000e+00,6.179601148951476830e-01,8.271420288236219776e-01,-1.000000000000000000e+00,6.179601148951476830e-01,-1.483673812395900349e-01,9.995999599959990434e-01,1.000000000000000000e+00
6.522598608713282564e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.008846332276738034e-01,-1.145156446461156330e+00,4.442718132334819159e-01,8.460410796888301332e-01,-1.000000000000000000e+00,5.894282596946383013e-01,8.460410796888301332e-01,-1.000000000000000000e+00,5.894282596946383013e-01,-1.451564464611563299e-01,8.475847584758469111e-01,1.000000000000000000e+00
6.528882422401830476e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.014611332702059832e-01,-1.145063122233486608e+00,4.436019889632800695e-01,8.465242555036925909e-01,-1.000000000000000000e+00,5.886651111967666772e-01,8.465242555036925909e-01,-1.000000000000000000e+00,5.886651111967666772e-01,-1.450631222334866077e-01,8.435843584358435621e-01,1.000000000000000000e+00
7.025303703797157739e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.461108576902936163e-01,-1.136265059960668733e+00,3.901542022703747281e-01,8.823759176509623492e-01,-1.000000000000000000e+00,5.264192622310435166e-01,8.823759176509623492e-01,-1.000000000000000000e+00,5.264192622310435166e-01,-1.362650599606687329e-01,5.275527552755274741e-01,1.000000000000000000e+00
7.031587517485705652e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.466644893833955798e-01,-1.136135695929547884e+00,3.894712065461515826e-01,8.828001853129434640e-01,-1.000000000000000000e+00,5.256069024756995223e-01,8.828001853129434640e-01,-1.000000000000000000e+00,5.256069024756995223e-01,-1.361356959295478841e-01,5.235523552355232368e-01,1.000000000000000000e+00
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.342363286812326306e-01,-1.054827158341183679e+00,1.205908296599505353e-01,9.890634870224163100e-01,-1.000000000000000000e+00,1.754179880011342285e-01,9.890634870224163100e-01,-1.000000000000000000e+00,1.754179880011342285e-01,-5.482715834118367937e-02,-9.993999399939985651e-01,1.000000000000000000e+00
1.046883360512170347e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.998185525688608744e-01,-1.000181348715353913e+00,3.627961464923256762e-04,9.999999012842147872e-01,-1.000000000000000000e+00,5.441448618462385676e-04,9.999999012842147872e-01,-1.000000000000000000e+00,5.441448618462385676e-04,-1.813487153539128371e-04,-3.353335333533342677e-01,1.000000000000000000e+00
1.047511741881025138e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000181348715354135e+00,-9.998185525688607633e-01,-3.627961464936340372e-04,1.000000000000000000e+00,-9.999999012842148982e-01,-5.441448618477689190e-04,1.000000000000000000e+00,-9.999999012842148982e-01,-5.441448618477689190e-04,1.813487153541348817e-04,-3.313331333133309187e-01,0.000000000000000000e+00
1.088356530856590121e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.022909527948558273e+00,-9.753966495850132645e-01,-4.751287836354513988e-02,1.000000000000000000e+00,-9.983061775335715371e-01,-7.042240631210341939e-02,1.000000000000000000e+00,-9.983061775335715371e-01,-7.042240631210341939e-02,2.290952794855827257e-02,-7.130713071307059892e-02,0.000000000000000000e+00
1.088984912225444912e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.023245958633905550e+00,-9.750081119059633705e-01,-4.823784672794259598e-02,1.000000000000000000e+00,-9.982540705398689207e-01,-7.148380536184814615e-02,1.000000000000000000e+00,-9.982540705398689207e-01,-7.148380536184814615e-02,2.324595863390555017e-02,-6.730673067306636170e-02,0.000000000000000000e+00
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.098230306792973732e+00,-8.580126200922466584e-01,-2.402176867007272121e-01,1.000000000000000000e+00,-9.562429268852203901e-01,-3.384479934937009160e-01,1.000000000000000000e+00,-9.562429268852203901e-01,-3.384479934937009160e-01,9.823030679297373169e-02,9.991999199919980867e-01,0.000000000000000000e+00
1.520054531259867892e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.153214336349758451e+00,-6.273271921105983973e-01,-5.258871442391604978e-01,1.000000000000000000e+00,-7.805415284603568482e-01,-6.791014805889189487e-01,1.000000000000000000e+00,-7.805415284603568482e-01,-6.791014805889189487e-01,1.532143363497584510e-01,-6.769676967696778291e-01,0.000000000000000000e+00
1.520682912628722905e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.153250910725497569e+00,-6.267178967397472045e-01,-5.265330139857504754e-01,1.000000000000000000e+00,-7.799688074652447733e-01,-6.797839247112480443e-01,1.000000000000000000e+00,-7.799688074652447733e-01,-6.797839247112480443e-01,1.532509107254975689e-01,-6.809680968096820664e-01,0.000000000000000000e+00
1.533878921374674631e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.153913760050436776e+00,-6.138659002600794778e-01,-5.400478597903578537e-01,1.000000000000000000e+00,-7.677796603105162543e-01,-6.939616198407946301e-01,1.000000000000000000e+00,-7.677796603105162543e-01,-6.939616198407946301e-01,1.539137600504367764e-01,-7.649764976497657187e-01,0.000000000000000000e+00
1.534507302743529422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.153940313130738637e+00,-6.132512163459217236e-01,-5.406890967848172469e-01,1.000000000000000000e+00,-7.671915294766603610e-01,-6.946294099155558843e-01,1.000000000000000000e+00,-7.671915294766603610e-01,-6.946294099155558843e-01,1.539403131307386374e-01,-7.689768976897699559e-01,0.000000000000000000e+00
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.154700524130855221e+00,-5.771931667238597852e-01,-5.775073574069957694e-01,1.000000000000000000e+00,-7.318936908547150066e-01,-7.322078815378509908e-01,1.000000000000000000e+00,-7.318936908547150066e-01,-7.322078815378509908e-01,1.547005241308552215e-01,-9.989998999899984966e-01,0.000000000000000000e+00
