wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-4.330127018922193538e-01,4.330127018922192428e-01,-5.669872981077805907e-01,-1.000000000000000000e+00,-1.339745962155613479e-01,-5.669872981077805907e-01,-1.000000000000000000e+00,-1.339745962155613479e-01,5.669872981077805907e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.797170714924854196e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.937560441819085433e-02,-4.707265340177917978e-01,3.813509295996006521e-01,-4.398978615640173895e-01,-1.000000000000000000e+00,-1.479225363826076056e-01,-4.398978615640173895e-01,-1.000000000000000000e+00,-1.479225363826076056e-01,5.292734659822082577e-01,-1.441144114411441191e-01,1.000000000000000000e+00
1.803454528613402663e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.968471717768133900e-02,-4.708323685991336327e-01,3.811476514214520717e-01,-4.394829142231850838e-01,-1.000000000000000000e+00,-1.480199799794143511e-01,-4.394829142231850838e-01,-1.000000000000000000e+00,-1.480199799794143511e-01,5.291676314008664228e-01,-1.481148114811481342e-01,1.000000000000000000e+00
2.218186232057599849e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100020254825834209e-01,-4.774044523488508163e-01,3.674024268662671733e-01,-4.125935221685658183e-01,-1.000000000000000000e+00,-1.551931207848820660e-01,-4.125935221685658183e-01,-1.000000000000000000e+00,-1.551931207848820660e-01,5.225955476511492392e-01,-4.121412141214122471e-01,1.000000000000000000e+00
2.224470045746148317e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.103084964298935849e-01,-4.774977419632607800e-01,3.671892455333670702e-01,-4.121937616068456212e-01,-1.000000000000000000e+00,-1.553130125033721498e-01,-4.121937616068456212e-01,-1.000000000000000000e+00,-1.553130125033721498e-01,5.225022580367392200e-01,-4.161416141614162623e-01,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.545234377660983371e-01,-4.890770663213276914e-01,3.345536285552291322e-01,-3.563994959125739159e-01,-1.000000000000000000e+00,-1.763693051234431208e-01,-3.563994959125739159e-01,-1.000000000000000000e+00,-1.763693051234431208e-01,5.109229336786722531e-01,-9.997999799979995217e-01,1.000000000000000000e+00
4.241574239770197763e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.057765080407613079e-01,-4.975298908935226749e-01,2.917533828527611450e-01,-2.966936010657160727e-01,-1.000000000000000000e+00,-2.107167262537162356e-01,-2.966936010657160727e-01,-1.000000000000000000e+00,-2.107167262537162356e-01,5.024701091064773806e-01,-2.997299729972997540e-01,1.000000000000000000e+00
4.247858053458746230e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.060628163300561588e-01,-4.975609847427469590e-01,2.914981684126907169e-01,-2.963761989271969099e-01,-1.000000000000000000e+00,-2.109408468445623797e-01,-2.963761989271969099e-01,-1.000000000000000000e+00,-2.109408468445623797e-01,5.024390152572530965e-01,-2.957295729572959608e-01,1.000000000000000000e+00
4.373534327229715024e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.117717450043194172e-01,-4.981415875827294726e-01,2.863698425784098611e-01,-2.900866674129510825e-01,-1.000000000000000000e+00,-2.154885698388606108e-01,-2.900866674129510825e-01,-1.000000000000000000e+00,-2.154885698388606108e-01,5.018584124172704719e-01,-2.157215721572161016e-01,1.000000000000000000e+00
4.379818140918263492e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.120563209035863372e-01,-4.981685531348556406e-01,2.861122322312689703e-01,-2.897751259615580222e-01,-1.000000000000000000e+00,-2.157192146338753891e-01,-2.897751259615580222e-01,-1.000000000000000000e+00,-2.157192146338753891e-01,5.018314468651443594e-01,-2.117211721172114203e-01,1.000000000000000000e+00
