wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,1.000000000000000000e+00,1.110223024625156540e-16,-1.000000000000000000e+00,1.000000000000000000e+00,-1.110223024625156540e-16,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.255922571725707294e-04,-1.000362598697020822e+00,9.996370064398478750e-01,1.088388385759044095e-03,-9.999998025684343483e-01,9.999998025684343483e-01,-3.627961285864733654e-04,9.959995999599959848e-01
1.231627482955494485e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.418568169008827540e-01,-1.063353459839241566e+00,9.214966429383580904e-01,2.127852253513244918e-01,-9.924250513887997727e-01,9.924250513887997727e-01,-7.092840845044173781e-02,2.159215921592159138e-01
1.237911296644042952e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.425768848269810818e-01,-1.063636100210280988e+00,9.210592153832993789e-01,2.138653272404718864e-01,-9.923476577967902390e-01,9.923476577967902390e-01,-7.128844241349080457e-02,2.119211921192118986e-01
3.066501080011639346e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.485656596638782578e-01,-1.127632967859576230e+00,7.790673081956973611e-01,5.228484894958176366e-01,-9.533501380276367954e-01,9.533501380276367954e-01,-1.742828298319394342e-01,-9.521952195219522963e-01
3.072784893700187814e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.492573343245415352e-01,-1.127788929560670894e+00,7.785315952361288039e-01,5.238860014868125248e-01,-9.531602623983999045e-01,9.531602623983999045e-01,-1.746286671622710451e-01,-9.561956195619563115e-01
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.568565935614531059e-01,-1.129475103580364070e+00,7.726185100189105759e-01,5.352848903421798532e-01,-9.510468067996373787e-01,9.510468067996373787e-01,-1.784282967807267473e-01,-9.997999799979995217e-01
3.217312608536802010e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.651272365847615942e-01,-1.131253017320314358e+00,7.661257807355523752e-01,5.476908548771426410e-01,-9.486893990279333666e-01,9.486893990279333666e-01,-1.825636182923809914e-01,-9.517951795179517838e-01
3.223596422225350477e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.658155261795159041e-01,-1.131398274694646489e+00,7.655827485151300849e-01,5.487232892692741615e-01,-9.484905116048882867e-01,9.484905116048882867e-01,-1.829077630897582019e-01,-9.477947794779475466e-01
5.906784867235534975e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.430812244027336311e-01,-1.152103616503575623e+00,5.090223921008414365e-01,8.975924204531546824e-01,-8.975924204531546824e-01,7.635335881512623768e-01,-2.545111960504209958e-01,7.603760376037604907e-01
