wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.212435565298214168e+00,1.212435565298213724e+00,2.220446049250313081e-16,-1.212435565298213946e+00,1.212435565298213946e+00,2.220446049250313081e-16,-1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.797338585010326889e-04,-1.212875192854412587e+00,1.211995458995911212e+00,1.319600787751719958e-03,-1.212435325925161900e+00,1.212435325925161900e+00,1.319600787751719958e-03,-1.000000000000000000e+00,1.000000000000000000e+00,-4.398669292506873774e-04,9.959995999599959848e-01
1.181356973447107023e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.650055463669184985e-01,-1.286487771948442438e+00,1.121482225581523329e+00,2.475083195503780531e-01,-1.203984998764982883e+00,1.203984998764982883e+00,2.475083195503780531e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-8.250277318345955457e-02,2.479247924792478130e-01
1.187640787135655490e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.658791159824709038e-01,-1.286834523991449153e+00,1.120955408008977416e+00,2.488186739737067721e-01,-1.203894966000213174e+00,1.203894966000213174e+00,2.488186739737067721e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-8.293955799123586825e-02,2.439243924392437979e-01
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.326656257450753329e-01,-1.369415785699717558e+00,9.367501599546415036e-01,6.489984386176133047e-01,-1.153082972827179642e+00,1.153082972827179642e+00,6.489984386176133047e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.163328128725380273e-01,-9.997999799979995217e-01
6.101583091580536911e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.021960949926040252e-01,-1.394758486924159380e+00,5.925623919315549104e-01,1.098477290958381758e+00,-1.098477290958381758e+00,8.888435878973326432e-01,1.000000000000000000e+00,-1.000000000000000000e+00,8.888435878973326432e-01,-2.962811959657776772e-01,8.843884388438847388e-01
6.107866905269084823e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.029169289348803140e-01,-1.394682157258915423e+00,5.917652283240344424e-01,1.098799543096897757e+00,-1.098799543096897757e+00,8.876478424860519967e-01,1.000000000000000000e+00,-1.000000000000000000e+00,8.876478424860519967e-01,-2.958826141620175543e-01,8.883888388838885319e-01
6.283813688548441911e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.229705235536417529e-01,-1.392321455043251888e+00,5.693509314896095796e-01,1.107645989298446931e+00,-1.107645989298446931e+00,8.540263972344146470e-01,1.000000000000000000e+00,-1.000000000000000000e+00,8.540263972344146470e-01,-2.846754657448050674e-01,9.995999599959990434e-01
6.610572000352959998e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.595323646016367336e-01,-1.386794439799905465e+00,5.272620751982682874e-01,1.123163402200771044e+00,-1.123163402200771044e+00,7.908931127974025976e-01,1.000000000000000000e+00,-1.000000000000000000e+00,7.908931127974025976e-01,-2.636310375991343657e-01,7.915791579157920310e-01
6.616855814041509021e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.602266071963529104e-01,-1.386673619628267851e+00,5.264470124319143851e-01,1.123450113412310269e+00,-1.123450113412310269e+00,7.896705186478718552e-01,1.000000000000000000e+00,-1.000000000000000000e+00,7.896705186478718552e-01,-2.632235062159574701e-01,7.875787578757869056e-01
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.132701351286758307e+00,-1.278909962015301494e+00,1.462086107285427428e-01,1.205805656651029789e+00,-1.205805656651029789e+00,2.193129160928143362e-01,1.000000000000000000e+00,-1.000000000000000000e+00,2.193129160928143362e-01,-7.310430536427159343e-02,-9.993999399939985651e-01
1.086471386750025525e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.238985252544237747e+00,-1.184016016384006553e+00,-5.496923616023143694e-02,1.211500634464122150e+00,-1.211500634464122150e+00,-8.245385424034704092e-02,1.000000000000000000e+00,-1.000000000000000000e+00,-8.245385424034704092e-02,2.748461808011559704e-02,-8.330833083308331055e-02
1.087099768118880316e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.239394621730297130e+00,-1.183546340942801534e+00,-5.584828078749613095e-02,1.211470481336549332e+00,-1.211470481336549332e+00,-8.377242118124392234e-02,1.000000000000000000e+00,-1.000000000000000000e+00,-8.377242118124392234e-02,2.792414039374779833e-02,-7.930793079307907334e-02
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.331533482844170058e+00,-1.040285016074544711e+00,-2.912484667696254026e-01,1.185909249459357273e+00,-1.185909249459357273e+00,-4.368727001544380761e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-4.368727001544380761e-01,1.456242333848126735e-01,9.991999199919980867e-01
1.570953422137110422e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.399999982724737357e+00,-6.998095233831090889e-01,-7.001904593416286016e-01,1.050095221033183090e+00,-1.049714285074663467e+00,-1.050095221033183090e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.499047616915543779e-01,-9.989998999899984966e-01
1.885144106564532462e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.331397543335648193e+00,-2.908182090884195437e-01,-1.040579334247228926e+00,1.185988438791438560e+00,-4.362273136326291767e-01,-1.185988438791438560e+00,1.000000000000000000e+00,-4.362273136326291767e-01,-1.000000000000000000e+00,1.454091045442096330e-01,9.987998799879971301e-01
2.054807076155340528e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.239189998301074125e+00,-5.540876120872236660e-02,-1.183781237092351724e+00,1.211485617696713035e+00,-8.311314181308357418e-02,-1.211485617696713035e+00,1.000000000000000000e+00,-8.311314181308357418e-02,-1.000000000000000000e+00,2.770438060436120065e-02,-8.130813081308296830e-02
2.055435457524195098e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.238780384479998720e+00,-5.452970568540760343e-02,-1.184250678794591005e+00,1.211515531637294973e+00,-8.179455852811146066e-02,-1.211515531637294973e+00,1.000000000000000000e+00,-8.179455852811146066e-02,-1.000000000000000000e+00,2.726485284270385723e-02,-8.530853085308542916e-02
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.132442781615762728e+00,1.466460651576476648e-01,-1.279088846773410504e+00,1.205765814194586616e+00,2.199690977364715527e-01,-1.205765814194586616e+00,1.000000000000000000e+00,2.199690977364715527e-01,-1.000000000000000000e+00,-7.332303257882388792e-02,-9.985998599859975400e-01
2.480221262870069943e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.598795283408362522e-01,5.268545698195236104e-01,-1.386734098160359530e+00,1.123306813250597891e+00,7.902818547292852491e-01,-1.123306813250597891e+00,1.000000000000000000e+00,7.902818547292852491e-01,-1.000000000000000000e+00,-2.634272849097616387e-01,7.895789578957916888e-01
2.480849644238924512e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.591851160130250520e-01,5.276695285279243697e-01,-1.386854644540949311e+00,1.123019880276987070e+00,7.915042927918864990e-01,-1.123019880276987070e+00,1.000000000000000000e+00,7.915042927918864990e-01,-1.000000000000000000e+00,-2.638347642639621293e-01,7.935793579357941496e-01
2.513525475419376765e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.226146393422926195e-01,5.697527530842446675e-01,-1.392367392426536954e+00,1.107491015884414676e+00,8.546291296263668347e-01,-1.107491015884414676e+00,1.000000000000000000e+00,8.546291296263668347e-01,-1.000000000000000000e+00,-2.848763765421221672e-01,9.983998399839961735e-01
