wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.073871500692703984e+00,1.073871500692703762e+00,7.387150069270398411e-02,-1.000000000000000000e+00,1.147743001385407746e+00,7.387150069270398411e-02,-1.000000000000000000e+00,1.000000000000000000e+00,-7.387150069270398411e-02,1.000000000000000000e+00,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.791928461009147572e-04,-1.074260885099622698e+00,1.073481692253521524e+00,7.504007794572360723e-02,-1.000000000000000000e+00,1.147742577353144222e+00,7.504007794572360723e-02,-1.000000000000000000e+00,1.000000000000000000e+00,-7.426088509962269768e-02,9.959995999599959848e-01,1.000000000000000000e+00
1.087099768118880427e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.345350194583798675e-01,-1.134799826057131478e+00,1.000264806598750944e+00,2.693348455155113452e-01,-1.000000000000000000e+00,1.135064632655882422e+00,2.693348455155113452e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.347998260571314777e-01,3.079307930793078185e-01,1.000000000000000000e+00
1.093383581807428756e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.353095860799293504e-01,-1.135113685427001196e+00,9.998040993470712623e-01,2.704232715069305737e-01,-1.000000000000000000e+00,1.134917784774072569e+00,2.704232715069305737e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.351136854270011955e-01,3.039303930393040254e-01,1.000000000000000000e+00
1.131086463938719422e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.399558531019316487e-01,-1.136987424815570469e+00,9.970315717136380984e-01,2.769432779175021175e-01,-1.000000000000000000e+00,1.134018996529208678e+00,2.769432779175021175e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.369874248155704688e-01,2.799279927992799344e-01,1.000000000000000000e+00
1.137370277627267889e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.407300393004988215e-01,-1.137298144090980401e+00,9.965681047904810796e-01,2.780281833914792222e-01,-1.000000000000000000e+00,1.133866248881461480e+00,2.780281833914792222e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.372981440909804007e-01,2.759275927592759192e-01,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.832181256599238584e-01,-1.212911124476892644e+00,8.296929988169682302e-01,5.961292501368165020e-01,-1.000000000000000000e+00,1.042604123293860763e+00,5.961292501368165020e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.129111244768926436e-01,-9.997999799979995217e-01,1.000000000000000000e+00
3.726301517309225653e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.514422625264015165e-01,-1.225896072312906648e+00,7.744538097865047988e-01,6.773383348393081649e-01,-1.000000000000000000e+00,1.000349882099411447e+00,6.773383348393081649e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.258960723129066483e-01,-6.277627762776276654e-01,1.000000000000000000e+00
3.732585330997774120e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.521678925904924484e-01,-1.226013017621160106e+00,7.738451250306671581e-01,6.781809102116524990e-01,-1.000000000000000000e+00,9.998581426518272641e-01,6.781809102116524990e-01,-1.000000000000000000e+00,9.998581426518272641e-01,-2.260130176211601061e-01,-6.237623762376234282e-01,1.000000000000000000e+00
5.234416802560851734e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.198312921393256403e-01,-1.239999984699053259e+00,6.201686925597269529e-01,8.598312768383788995e-01,-1.000000000000000000e+00,8.601686772587802121e-01,8.598312768383788995e-01,-1.000000000000000000e+00,8.601686772587802121e-01,-2.399999846990532593e-01,3.323332333233328661e-01,1.000000000000000000e+00
