wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.212435565298214168e+00,1.212435565298213724e+00,2.124355652982141685e-01,-1.000000000000000000e+00,1.424871130596427893e+00,2.124355652982141685e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.124355652982141685e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.797338585010326889e-04,-1.212875192854412587e+00,1.211995458995911212e+00,2.137549267129136288e-01,-1.000000000000000000e+00,1.424870651850323799e+00,2.137549267129136288e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.128751928544125871e-01,9.959995999599959848e-01,1.000000000000000000e+00
9.362882395937177638e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.308889212818328540e-01,-1.272569585768489331e+00,1.141680664486656172e+00,4.034585070503221571e-01,-1.000000000000000000e+00,1.414250250255145502e+00,4.034585070503221571e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.725695857684893308e-01,4.039403940394039605e-01,1.000000000000000000e+00
9.425720532822662312e-02,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.317647760844591898e-01,-1.272936045854325071e+00,1.141171269769865715e+00,4.047008219387842609e-01,-1.000000000000000000e+00,1.414107315624190786e+00,4.047008219387842609e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-2.729360458543250711e-01,3.999399939993999453e-01,1.000000000000000000e+00
2.513525475419376431e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.481999257391186209e-01,-1.348437056206244433e+00,1.000237130467125146e+00,6.966369819453630541e-01,-1.000000000000000000e+00,1.348674186673369579e+00,6.966369819453630541e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.484370562062444332e-01,-6.001600160016000718e-01,1.000000000000000000e+00
2.519809289107924899e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.490519468956976845e-01,-1.348673346555774533e+00,9.996213996600763485e-01,6.977252934514721616e-01,-1.000000000000000000e+00,1.348294746215850992e+00,6.977252934514721616e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.486733465557745326e-01,-6.041604160416040870e-01,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.326656257450753329e-01,-1.369415785699717558e+00,9.367501599546415036e-01,8.020814114447929466e-01,-1.000000000000000000e+00,1.306165945654359062e+00,8.020814114447929466e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.694157856997175582e-01,-9.997999799979995217e-01,1.000000000000000000e+00
4.461507718869393568e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.040948116388774602e-01,-1.395803363020697407e+00,7.917085513818191700e-01,9.998981746595748676e-01,-1.000000000000000000e+00,1.187511914402516577e+00,9.998981746595748676e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.958033630206974074e-01,-1.597159715971594451e-01,1.000000000000000000e+00
4.467791532557942036e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.048883132252745876e-01,-1.395871152983502173e+00,7.909828397582272519e-01,1.000759466208776871e+00,-1.000000000000000000e+00,1.186853992741729424e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-3.958711529835021725e-01,-1.557155715571556520e-01,1.000000000000000000e+00
5.234416802560851734e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.998095233831095330e-01,-1.399999982724737357e+00,7.001904593416271583e-01,1.099809506107846779e+00,-1.000000000000000000e+00,1.100190442066364405e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-3.999999827247373574e-01,3.323332333233328661e-01,1.000000000000000000e+00
