wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c
4.702806164509653719e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.239943065612435280e+00,6.302620881715494949e-01,6.096809774408861182e-01,-9.351025768919923875e-01,9.351025768919923875e-01,9.145214661613290108e-01,-9.351025768919923875e-01,9.351025768919923875e-01,9.145214661613290108e-01,-3.048404887204428926e-01,-9.389938993899420439e-01
4.712231885042475810e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.239999984699053259e+00,6.201686925597276190e-01,6.198312921393257513e-01,-9.300843386293904391e-01,9.300843386293904391e-01,9.297469382089885714e-01,-9.300843386293904391e-01,9.300843386293904391e-01,9.297469382089885714e-01,-3.099156460696628201e-01,-9.989998999900002730e-01
4.722285986944153358e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.239939271037626689e+00,6.093416957368449349e-01,6.305975753007820872e-01,-9.352684231692043326e-01,9.140125436052672914e-01,9.352684231692043326e-01,-9.352684231692043326e-01,9.140125436052672914e-01,9.352684231692043326e-01,-3.046708478684223009e-01,-9.369936993699354844e-01
4.722914368313008815e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.239931314683659247e+00,6.086629519073295524e-01,6.312683627763300276e-01,-9.355998387299946373e-01,9.129944278609941621e-01,9.355998387299946373e-01,-9.355998387299946373e-01,9.129944278609941621e-01,9.355998387299946373e-01,-3.043314759536646097e-01,-9.329932993299294708e-01
4.951016805207316906e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.204862405131051695e+00,3.486006714500521908e-01,8.562617336809995594e-01,-1.030562069406025572e+00,5.229010071750782584e-01,1.030562069406025572e+00,-1.000000000000000000e+00,5.229010071750782584e-01,1.000000000000000000e+00,-1.743003357250260676e-01,5.191519151915215957e-01
4.951645186576171476e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.204677989785169157e+00,3.478528347671793752e-01,8.568251550179896148e-01,-1.030751572401579441e+00,5.217792521507691461e-01,1.030751572401579441e+00,-1.000000000000000000e+00,5.217792521507691461e-01,1.000000000000000000e+00,-1.739264173835897709e-01,5.231523152315240566e-01
5.026422569469898072e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.179358227661979175e+00,2.579629277102391538e-01,9.213952999517402986e-01,-1.050376763806859737e+00,3.869443915653585919e-01,1.050376763806859737e+00,-1.000000000000000000e+00,3.869443915653585919e-01,1.000000000000000000e+00,-1.289814638551194381e-01,9.991999199919980867e-01
5.161524563773689955e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.117020219082374810e+00,9.224905324238713566e-02,1.024771165839987619e+00,-1.070895692461181214e+00,1.383735798635807313e-01,1.070895692461181214e+00,-1.000000000000000000e+00,1.383735798635807313e-01,1.000000000000000000e+00,-4.612452662119359559e-02,1.407140714071388743e-01
5.162152945142544525e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.116681683135052339e+00,9.147200140682314184e-02,1.025209681728229238e+00,-1.070945682431640789e+00,1.372080021102347058e-01,1.070945682431640789e+00,-1.000000000000000000e+00,1.372080021102347058e-01,1.000000000000000000e+00,-4.573600070341155011e-02,1.367136713671328607e-01
5.340613253897320334e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.003249768282557186e+00,-1.294990552167103737e-01,1.132748823499267532e+00,-1.067999295890912359e+00,-1.942485828250655466e-01,1.067999295890912359e+00,-1.000000000000000000e+00,-1.942485828250655466e-01,1.000000000000000000e+00,6.474952760835517296e-02,-9.993999399939994532e-01
