wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-8.660254037844387076e-01,8.660254037844384856e-01,-1.339745962155612924e-01,-1.000000000000000000e+00,7.320508075688771932e-01,-1.339745962155612924e-01,-1.000000000000000000e+00,7.320508075688771932e-01,1.339745962155612924e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.210155171327455842e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,4.208911503019863165e-02,-8.863025420474474059e-01,8.442134270172483301e-01,-7.160834292235396248e-02,-1.000000000000000000e+00,7.305159690646957360e-01,-7.160834292235396248e-02,-1.000000000000000000e+00,7.305159690646957360e-01,1.136974579525525941e-01,7.319731973197318720e-01,1.000000000000000000e+00
4.272993308212939823e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.271693121451215769e-02,-8.865933746583826158e-01,8.438764434438701389e-01,-7.068969412710522648e-02,-1.000000000000000000e+00,7.304698181022527548e-01,-7.068969412710522648e-02,-1.000000000000000000e+00,7.304698181022527548e-01,1.134066253416173842e-01,7.279727972797278568e-01,1.000000000000000000e+00
1.451560962054689874e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.446468860667418921e-01,-9.292411513131079159e-01,7.845942652463653300e-01,7.388803737984980802e-02,-1.000000000000000000e+00,7.138354165594732459e-01,7.388803737984980802e-02,-1.000000000000000000e+00,7.138354165594732459e-01,7.075884868689208407e-02,7.590759075907582698e-02,1.000000000000000000e+00
1.457844775743238341e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.452686303630425224e-01,-9.294731382832376321e-01,7.842045079201946933e-01,7.474176864628015449e-02,-1.000000000000000000e+00,7.136776462034323254e-01,7.474176864628015449e-02,-1.000000000000000000e+00,7.136776462034323254e-01,7.052686171676236793e-02,7.190719071907203386e-02,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.090468755321966743e-01,-9.781541326426553828e-01,6.691072571104582645e-01,2.872010081748520571e-01,-1.000000000000000000e+00,6.472613897531136473e-01,2.872010081748520571e-01,-1.000000000000000000e+00,6.472613897531136473e-01,2.184586735734461715e-02,-9.997999799979995217e-01,1.000000000000000000e+00
5.234416802560851734e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.998639452736496902e-01,-9.999999876605267790e-01,5.001360423868765892e-01,4.998639329341764692e-01,-1.000000000000000000e+00,5.001360300474033682e-01,4.998639329341764692e-01,-1.000000000000000000e+00,5.001360300474033682e-01,1.233947322099027133e-08,3.323332333233328661e-01,1.000000000000000000e+00
5.460634095348595451e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.193271477237759726e-01,-9.997476807225984530e-01,4.804205329988220918e-01,5.190748284463744255e-01,-1.000000000000000000e+00,4.801682137214205448e-01,5.190748284463744255e-01,-1.000000000000000000e+00,4.801682137214205448e-01,2.523192774015470263e-04,4.763476347634765240e-01,1.000000000000000000e+00
5.466917909037144474e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.198640444897986157e-01,-9.997333681716498166e-01,4.798693236818505903e-01,5.195974126614484323e-01,-1.000000000000000000e+00,4.796026918535004069e-01,5.195974126614484323e-01,-1.000000000000000000e+00,4.796026918535004069e-01,2.666318283501833974e-04,4.803480348034807612e-01,1.000000000000000000e+00
5.536039859611177061e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.257563141743986090e-01,-9.995498774479807391e-01,4.737935632735814639e-01,5.253061916223793482e-01,-1.000000000000000000e+00,4.733434407215622031e-01,5.253061916223793482e-01,-1.000000000000000000e+00,4.733434407215622031e-01,4.501225520192608798e-04,5.243524352435251501e-01,1.000000000000000000e+00
5.542323673299724973e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.262907336698779970e-01,-9.995308282204257155e-01,4.732400945505473300e-01,5.258215618903037125e-01,-1.000000000000000000e+00,4.727709227709730455e-01,5.258215618903037125e-01,-1.000000000000000000e+00,4.727709227709730455e-01,4.691717795742844643e-04,5.283528352835284991e-01,1.000000000000000000e+00
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.878360882526012521e-01,-9.945153250308942372e-01,4.066792367782925965e-01,5.823514132834954893e-01,-1.000000000000000000e+00,4.011945618091868337e-01,5.823514132834954893e-01,-1.000000000000000000e+00,4.011945618091868337e-01,5.484674969105762798e-03,9.995999599959990434e-01,1.000000000000000000e+00
6.874492175271994521e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.345678327273726049e-01,-9.866065211297019300e-01,3.520386884023289920e-01,6.211743538570745349e-01,-1.000000000000000000e+00,3.386452095320309219e-01,6.211743538570745349e-01,-1.000000000000000000e+00,3.386452095320309219e-01,1.339347887029807005e-02,6.235623562356238381e-01,1.000000000000000000e+00
6.880775988960543543e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.350533627432205508e-01,-9.865038258626576129e-01,3.514504631194366180e-01,6.215571886058781637e-01,-1.000000000000000000e+00,3.379542889820942309e-01,6.215571886058781637e-01,-1.000000000000000000e+00,3.379542889820942309e-01,1.349617413734238713e-02,6.195619561956196009e-01,1.000000000000000000e+00
7.414900152487160501e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.753874921257229103e-01,-9.763554731219478144e-01,3.009679809962246821e-01,6.517429652476707247e-01,-1.000000000000000000e+00,2.773234541181724966e-01,6.517429652476707247e-01,-1.000000000000000000e+00,2.773234541181724966e-01,2.364452687805218556e-02,2.795279527952798659e-01,1.000000000000000000e+00
7.421183966175709523e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.758507667870192748e-01,-9.762194424094529088e-01,3.003686756224333010e-01,6.520702091964721836e-01,-1.000000000000000000e+00,2.765881180318862098e-01,6.520702091964721836e-01,-1.000000000000000000e+00,2.765881180318862098e-01,2.378055759054709117e-02,2.755275527552756287e-01,1.000000000000000000e+00
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.090723937762559492e-01,-9.135071157252154794e-01,1.044347219489591139e-01,7.225795095014714287e-01,-1.000000000000000000e+00,1.794183767417459330e-02,7.225795095014714287e-01,-1.000000000000000000e+00,1.794183767417459330e-02,8.649288427478452057e-02,-9.993999399939985651e-01,1.000000000000000000e+00
1.046883360512170347e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.658682656996206095e-01,-8.661824563788786957e-01,3.141906792574546440e-04,7.320507220784993052e-01,-1.000000000000000000e+00,-1.335033529418638565e-01,7.320507220784993052e-01,-1.000000000000000000e+00,-1.335033529418638565e-01,1.338175436211213043e-01,-3.353335333533342677e-01,1.000000000000000000e+00
1.047511741881025138e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.661824563788788067e-01,-8.658682656996204985e-01,-3.141906792585877437e-04,1.000000000000000000e+00,-7.320507220784993052e-01,1.335033529418626075e-01,1.000000000000000000e+00,-7.320507220784993052e-01,1.335033529418626075e-01,-1.338175436211211933e-01,-3.313331333133309187e-01,0.000000000000000000e+00
1.106579590553380621e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.941725247189604708e-01,-8.348253782973616977e-01,-5.934714642159886339e-02,1.000000000000000000e+00,-7.289979030163221685e-01,4.648032885944066578e-02,1.000000000000000000e+00,-7.289979030163221685e-01,4.648032885944066578e-02,-1.058274752810395292e-01,4.470447044704517481e-02,0.000000000000000000e+00
1.107207971922235412e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.944536886814061782e-01,-8.344792802312593905e-01,-5.997440845014711391e-02,1.000000000000000000e+00,-7.289329689126655687e-01,4.557190286844670785e-02,1.000000000000000000e+00,-7.289329689126655687e-01,4.557190286844670785e-02,-1.055463113185938218e-01,4.870487048705030020e-02,0.000000000000000000e+00
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.510953448886929618e-01,-7.430607257675320154e-01,-2.080346191211610296e-01,1.000000000000000000e+00,-6.941560706562249772e-01,-1.591299640098539914e-01,1.000000000000000000e+00,-6.941560706562249772e-01,-1.591299640098539914e-01,-4.890465511130703824e-02,9.991999199919980867e-01,0.000000000000000000e+00
1.478581360915448339e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.957512121471787658e-01,-5.776229736199108844e-01,-4.181282385272681035e-01,1.000000000000000000e+00,-5.733741857670896502e-01,-4.138794506744468693e-01,1.000000000000000000e+00,-5.733741857670896502e-01,-4.138794506744468693e-01,-4.248787852821234168e-03,-4.129412941294141604e-01,0.000000000000000000e+00
1.479209742284303131e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.958088796268792509e-01,-5.771099095879104190e-01,-4.186989700389692759e-01,1.000000000000000000e+00,-5.729187892147896699e-01,-4.145078496658485268e-01,1.000000000000000000e+00,-5.729187892147896699e-01,-4.145078496658485268e-01,-4.191120373120749143e-03,-4.169416941694183976e-01,0.000000000000000000e+00
1.500574708825367809e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.975354751644750495e-01,-5.595314754633839982e-01,-4.380039997010910513e-01,1.000000000000000000e+00,-5.570669506278590477e-01,-4.355394748655661008e-01,1.000000000000000000e+00,-5.570669506278590477e-01,-4.355394748655661008e-01,-2.464524835524950497e-03,-5.529552955295535810e-01,0.000000000000000000e+00
1.501203090194222600e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.975793679172075823e-01,-5.590105568302947692e-01,-4.385688110869130907e-01,1.000000000000000000e+00,-5.565899247475023515e-01,-4.361481790041206730e-01,1.000000000000000000e+00,-5.565899247475023515e-01,-4.361481790041206730e-01,-2.420632082792417705e-03,-5.569556955695560418e-01,0.000000000000000000e+00
1.570325040768255409e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999998889447425654e-01,-5.004080901287820682e-01,-4.995917988159606637e-01,1.000000000000000000e+00,-5.004079790735246336e-01,-4.995916877607032291e-01,1.000000000000000000e+00,-5.004079790735246336e-01,-4.995916877607032291e-01,-1.110552574346002075e-07,-9.969996999699954898e-01,0.000000000000000000e+00
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999876605267790e-01,-4.998639452736494126e-01,-5.001360423868775884e-01,1.000000000000000000e+00,-4.998639329341761917e-01,-5.001360300474043674e-01,1.000000000000000000e+00,-4.998639329341761917e-01,-5.001360300474043674e-01,-1.233947322099027133e-08,-9.989998999899984966e-01,0.000000000000000000e+00
1.640075372711143231e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.976011665794085603e-01,-4.388511518532643985e-01,-5.587500147261442729e-01,1.000000000000000000e+00,-4.364523184326729588e-01,-5.563511813055528332e-01,1.000000000000000000e+00,-4.364523184326729588e-01,-5.563511813055528332e-01,-2.398833420591439669e-03,-5.589558955895590486e-01,0.000000000000000000e+00
1.640703754079998022e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.975574707781759143e-01,-4.382864270268960194e-01,-5.592710437512798949e-01,1.000000000000000000e+00,-4.358438978050719337e-01,-5.568285145294558092e-01,1.000000000000000000e+00,-4.358438978050719337e-01,-5.568285145294558092e-01,-2.442529221824085717e-03,-5.549554955495548114e-01,0.000000000000000000e+00
1.662697101989917492e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.957800950366361148e-01,-4.184136249351327330e-01,-5.773664701015034373e-01,1.000000000000000000e+00,-4.141937199717688478e-01,-5.731465651381395521e-01,1.000000000000000000e+00,-4.141937199717688478e-01,-5.731465651381395521e-01,-4.219904963363885209e-03,-4.149414941494153908e-01,0.000000000000000000e+00
1.663325483358772505e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.957222309613584788e-01,-4.178428108435445210e-01,-5.778794201178141243e-01,1.000000000000000000e+00,-4.135650418049029997e-01,-5.736016510791726031e-01,1.000000000000000000e+00,-4.135650418049029997e-01,-5.736016510791726031e-01,-4.277769038641521249e-03,-4.109410941094111536e-01,0.000000000000000000e+00
1.885144106564532462e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.509982452397487407e-01,-2.077272922060139915e-01,-7.432709530337349157e-01,1.000000000000000000e+00,-1.587255374457627322e-01,-6.942691982734836564e-01,1.000000000000000000e+00,-1.587255374457627322e-01,-6.942691982734836564e-01,-4.900175476025125931e-02,9.987998799879971301e-01,0.000000000000000000e+00
2.034698872351985433e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.943131508415957942e-01,-5.966078038060259464e-02,-8.346523704609931649e-01,1.000000000000000000e+00,4.602606877780161115e-02,-7.289655213025889591e-01,1.000000000000000000e+00,4.602606877780161115e-02,-7.289655213025889591e-01,-1.056868491584042058e-01,4.670467046704551706e-02,0.000000000000000000e+00
2.035327253720840002e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.940318103273821038e-01,-5.903350660409382999e-02,-8.349983037232883154e-01,1.000000000000000000e+00,4.693468306852406624e-02,-7.290301140506704192e-01,1.000000000000000000e+00,4.693468306852406624e-02,-7.290301140506704192e-01,-1.059681896726178962e-01,4.270427042704305620e-02,0.000000000000000000e+00
2.093766721024340693e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.663394234674374195e-01,-6.283813275004627432e-04,-8.657110421399369926e-01,1.000000000000000000e+00,1.330321952050621259e-01,-7.320504656073744121e-01,1.000000000000000000e+00,1.330321952050621259e-01,-7.320504656073744121e-01,-1.336605765325625805e-01,-3.293329332933314646e-01,0.000000000000000000e+00
2.094395102393195707e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.660254037844385966e-01,4.440892098500626162e-16,-8.660254037844390407e-01,7.320508075688776373e-01,-1.339745962155605152e-01,-1.000000000000000000e+00,7.320508075688776373e-01,-1.339745962155605152e-01,-1.000000000000000000e+00,1.339745962155609593e-01,-3.333333333333357018e-01,2.000000000000000000e+00
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.088877011541163453e-01,1.047471893983197705e-01,-9.136348905524360742e-01,7.225225917065524195e-01,1.838207995075584467e-02,-1.000000000000000000e+00,7.225225917065524195e-01,1.838207995075584467e-02,-1.000000000000000000e+00,8.636510944756392583e-02,-9.985998599859975400e-01,2.000000000000000000e+00
2.399160066287794990e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.760823040533900929e-01,3.000689784440528363e-01,-9.761512824974427627e-01,6.522335865508328556e-01,2.762202609414955989e-01,-1.000000000000000000e+00,6.522335865508328556e-01,2.762202609414955989e-01,-1.000000000000000000e+00,2.384871750255723732e-02,2.735273527352752865e-01,2.000000000000000000e+00
2.399788447656649559e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.756191628035093100e-01,3.006683431496851577e-01,-9.762875059531943567e-01,6.519066687567036666e-01,2.769558491028795144e-01,-1.000000000000000000e+00,6.519066687567036666e-01,2.769558491028795144e-01,-1.000000000000000000e+00,2.371249404680564332e-02,2.775277527752777473e-01,2.000000000000000000e+00
2.453200864009311477e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.352960337284382364e-01,3.511562984229107953e-01,-9.864523321513488652e-01,6.217483658797871016e-01,3.376086305742596605e-01,-1.000000000000000000e+00,6.217483658797871016e-01,3.376086305742596605e-01,-1.000000000000000000e+00,1.354766784865113483e-02,6.175617561756183704e-01,2.000000000000000000e+00
2.453829245378166490e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.348106290682113961e-01,3.517445931222554223e-01,-9.865552221904666519e-01,6.213658512586780480e-01,3.382998153127220742e-01,-1.000000000000000000e+00,6.213658512586780480e-01,3.382998153127220742e-01,-1.000000000000000000e+00,1.344477780953334811e-02,6.215621562156226076e-01,2.000000000000000000e+00
2.513525475419376765e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.875818852444947282e-01,4.069662522030318974e-01,-9.945481374475264591e-01,5.821300226920211873e-01,4.015143896505583565e-01,-1.000000000000000000e+00,5.821300226920211873e-01,4.015143896505583565e-01,-1.000000000000000000e+00,5.451862552473540902e-03,9.983998399839961735e-01,2.000000000000000000e+00
2.587674476944248347e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.260235498855519998e-01,4.735168522838592575e-01,-9.995404021694110908e-01,5.255639520549630905e-01,4.730572544532703483e-01,-1.000000000000000000e+00,5.255639520549630905e-01,4.730572544532703483e-01,-1.000000000000000000e+00,4.595978305889092397e-04,5.263526352635246042e-01,2.000000000000000000e+00
2.588302858313102917e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.254890265627975010e-01,4.740702274924017412e-01,-9.995592540551990757e-01,5.250482806179965767e-01,4.736294815476008169e-01,-1.000000000000000000e+00,5.250482806179965767e-01,4.736294815476008169e-01,-1.000000000000000000e+00,4.407459448009243275e-04,5.223522352235221433e-01,2.000000000000000000e+00
2.594586672001651273e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.201324159078777321e-01,4.795936479537453723e-01,-9.997260638616228823e-01,5.198584797695006143e-01,4.793197118153682545e-01,-1.000000000000000000e+00,5.198584797695006143e-01,4.793197118153682545e-01,-1.000000000000000000e+00,2.739361383771177216e-04,4.823482348234833239e-01,2.000000000000000000e+00
