wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
3.014345426396687344e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.269041102818491973e-01,7.955715243347376564e-01,-9.224756346165865484e-01,1.903561654227736433e-01,8.590235794756621024e-01,-8.590235794756621024e-01,-6.345205514092444599e-02,1.899189918991908144e-01
3.014973807765542357e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.262807843689756071e-01,7.959520781726719951e-01,-9.222328625416472692e-01,1.894211765534632441e-01,8.590924703571596321e-01,-8.590924703571596321e-01,-6.314039218448763702e-02,1.939193919391968279e-01
3.119913496364301153e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,2.167745911584536764e-02,8.549831723507267389e-01,-8.766606314665716937e-01,3.251618867376784849e-02,8.658219019086492718e-01,-8.658219019086492718e-01,-1.083872955792247739e-02,8.619861986198635861e-01
3.120541877733156166e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.104922116791515738e-02,8.553089171314851580e-01,-8.763581382994000135e-01,3.157383175187258861e-02,8.658335277154425302e-01,-8.658335277154425302e-01,-1.052461058395742777e-02,8.659865986598695997e-01
3.141278462905365831e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.141906792581436545e-04,8.658682656996207205e-01,-8.661824563788785847e-01,4.712860188870757281e-04,8.660253610392496526e-01,-8.660253610392496526e-01,-1.570953396289320736e-04,9.979997999799969932e-01
3.162643429446430510e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-2.104922116791535514e-02,8.763581382994004576e-01,-8.553089171314847139e-01,-3.157383175187322699e-02,8.658335277154425302e-01,-8.658335277154425302e-01,1.052461058395787186e-02,8.659865986598660470e-01
3.163271810815285523e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.167745911584556887e-02,8.766606314665721378e-01,-8.549831723507261838e-01,-3.251618867376854238e-02,8.658219019086491608e-01,-8.658219019086491608e-01,1.083872955792297699e-02,8.619861986198600334e-01
3.346130789152045093e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.031149447573720734e-01,9.495304904707462246e-01,-7.464155457133737626e-01,-3.046724171360583044e-01,8.479730180920599381e-01,-8.479730180920599381e-01,1.015574723786862310e-01,-3.021302130213001647e-01
3.346759170520900106e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.037301873122894791e-01,9.497274103581401228e-01,-7.459972230458502551e-01,-3.055952809684344129e-01,8.478623167019951890e-01,-8.478623167019951890e-01,1.018650936561449338e-01,-3.061306130613097309e-01
3.429077129840884641e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.835408376886303095e-01,9.722542808320857599e-01,-6.887134431434550619e-01,-4.253112565329456585e-01,8.304838619877703554e-01,-8.304838619877703554e-01,1.417704188443153490e-01,-8.301830183018346077e-01
