id_A,iq_A,Lqq_mH_if2,Lqq_mH_if3,Lqq_mH_if4,Lqq_mH_if5
-30.0,-35.0,12.898376614341412,12.873421185770038,12.84898456013483,8.86919066515991
-25.0,-35.0,8.09446492151223,8.185931778655117,8.277476840202324,8.36919066515989
-20.0,-35.0,7.594464921512204,7.6859317786550845,7.777476840202283,7.869190665159887
-15.0,-35.0,7.094464921512214,11.373421185770068,7.277476840202276,7.369190665159872
-10.0,-35.0,6.594464921512231,6.685931778655067,10.8489845601348,10.824527110106557
-5.0,-35.0,6.094464921512208,6.185931778655074,6.277476840202282,6.369190665159895
0.0,-35.0,5.594464921512215,9.873421185770042,9.848984560134816,5.869190665159885
5.0,-35.0,9.398376614341467,5.1859317786550685,9.348984560134792,5.36919066515991
10.0,-35.0,4.594464921512233,4.685931778655049,8.848984560134866,8.824527110106615
-30.0,-30.0,22.749191891586,22.47872679841833,22.20815460191918,21.937677538113405
-25.0,-30.0,24.638663963862,20.234990197627464,23.96858486730639,19.790816307170083
-20.0,-30.0,19.95708783737898,23.803708932806124,23.4685848673064,23.13349251270446
-15.0,-30.0,23.638663963861983,19.23499019762743,19.012831902878737,22.633492512704468
-10.0,-30.0,18.95708783737897,18.73499019762743,18.512831902878744,18.29081630717009
-5.0,-30.0,22.638663963862,22.303708932806074,21.968584867306387,21.633492512704446
0.0,-30.0,17.95708783737897,17.734990197627422,17.51283190287875,17.2908163071701
5.0,-30.0,17.45708783737899,21.30370893280609,20.968584867306404,20.633492512704464
10.0,-30.0,18.749191891586,18.478726798418275,16.512831902878748,16.290816307170104
-30.0,-25.0,31.29875645849702,30.98899462450528,30.4926030988136,29.99626943873451
-25.0,-25.0,31.234190324110443,30.731931541501748,29.814804648220367,29.72742314624484
-20.0,-25.0,30.858600000000003,30.3534,29.84819999999999,29.343000000000007
-15.0,-25.0,30.358600000000013,29.853400000000008,29.3482,28.843
-10.0,-25.0,29.85859999999997,29.3534,28.84819999999999,28.343000000000007
-5.0,-25.0,29.358599999999992,28.85340000000003,28.3482,27.843000000000018
0.0,-25.0,28.858600000000024,28.3534,27.84820000000001,27.342999999999986
5.0,-25.0,27.798756458497,27.731931541501755,26.814804648220367,26.72742314624484
10.0,-25.0,27.48537097233134,26.988994624505256,26.49260309881358,25.996269438734537
-30.0,-20.0,39.04171385657754,38.33910466403098,37.63649005081811,36.93390281196999
-25.0,-20.0,37.793104618859175,38.38505699604645,36.42923001693937,35.74730093732334
-20.0,-20.0,36.91880000000001,36.24719999999999,35.5756,34.904
-15.0,-20.0,36.4188,35.74719999999998,35.07560000000001,34.40399999999999
-10.0,-20.0,35.918800000000005,35.247200000000014,34.5756,33.904
-5.0,-20.0,35.41880000000001,34.7472,34.0756,33.40399999999999
0.0,-20.0,34.91879999999998,34.24719999999999,33.575599999999994,32.904
5.0,-20.0,34.79310461885917,34.11116822134365,33.42923001693937,32.747300937323345
10.0,-20.0,35.04171385657753,34.339104664030955,33.63649005081811,32.93390281197001
-30.0,-15.0,45.20462054432457,44.32065691699542,43.43661545793273,42.55265765781981
-25.0,-15.0,45.31693081648684,43.02461897233181,42.1608718193109,41.29728588593992
-20.0,-15.0,42.98,42.1266,41.273,40.4196
-15.0,-15.0,42.48,41.6266,40.77300000000002,39.91960000000002
-10.0,-15.0,41.98,41.12659999999999,40.273,39.4196
-5.0,-15.0,41.47999999999998,40.6266,39.77299999999999,38.91960000000001
0.0,-15.0,40.98000000000002,40.12660000000001,39.273,38.4196
5.0,-15.0,42.31693081648686,40.024618972331794,39.1608718193109,38.29728588593993
10.0,-15.0,41.20462054432457,40.320656916995375,39.43661545793272,38.55265765781982
-30.0,-10.0,49.86261655335869,48.63421138339857,47.60417932015746,46.573973976283945
-25.0,-10.0,48.90013701185748,47.873403794466185,46.84699310671916,45.82025799209466
-20.0,-10.0,48.268,47.243,46.21840000000001,45.19340000000001
-15.0,-10.0,47.768,46.743,45.7184,44.6934
-10.0,-10.0,47.268000000000015,46.243000000000016,45.21839999999999,44.1934
-5.0,-10.0,46.76800000000001,45.743,44.7184,43.6934
0.0,-10.0,46.26799999999999,45.243,44.2184,43.1934
5.0,-10.0,45.90013701185748,44.87340379446618,43.84699310671916,42.82025799209467
10.0,-10.0,45.86261655335868,44.634211383398544,43.60417932015746,42.57397397628396
-30.0,-5.0,52.07420533032119,50.94752806324046,49.8207816374923,48.69409176736245
-25.0,-5.0,52.13513511010707,50.99304268774683,49.85079387916411,48.70869725578749
-20.0,-5.0,51.91559999999999,50.76579999999999,49.6158,48.466
-15.0,-5.0,51.415600000000005,50.265800000000006,49.1158,47.966
-10.0,-5.0,50.91559999999999,49.76579999999999,48.6158,47.466
-5.0,-5.0,50.415600000000005,49.2658,48.1158,46.966
0.0,-5.0,49.915600000000005,48.765800000000006,47.6158,46.466
5.0,-5.0,49.135135110107065,47.993042687746815,46.8507938791641,45.70869725578749
10.0,-5.0,48.07420533032119,46.947528063240455,45.82078163749231,44.69409176736246
-30.0,0.0,51.07198514285614,49.92897043478165,48.78597361490586,47.6429365465829
-25.0,0.0,50.57198514285613,49.428970434781625,48.28597361490586,47.14293654658291
-20.0,0.0,52.7466,51.5506,50.354600000000005,49.1586
-15.0,0.0,52.2466,51.0506,49.8546,48.65859999999999
-10.0,0.0,51.7466,50.5506,49.354600000000005,48.15859999999999
-5.0,0.0,51.2466,50.0506,48.854600000000005,47.65859999999999
0.0,0.0,50.7466,49.5506,48.354600000000005,47.15859999999999
5.0,0.0,47.571985142856136,46.428970434781625,45.28597361490587,44.14293654658292
10.0,0.0,47.07198514285614,45.928970434781625,44.78597361490587,43.64293654658292
-30.0,5.0,48.27420533032118,47.14752806324047,46.0207816374923,44.89409176736243
-25.0,5.0,48.33513511010705,47.193042687746825,46.0507938791641,44.90869725578749
-20.0,5.0,48.1156,46.9658,45.8158,44.666
-15.0,5.0,47.61559999999999,46.4658,45.3158,44.166
-10.0,5.0,47.1156,45.9658,44.8158,43.666
-5.0,5.0,46.61560000000001,45.46580000000001,44.3158,43.166
0.0,5.0,46.11559999999999,44.9658,43.8158,42.666
5.0,5.0,45.33513511010706,44.19304268774682,43.0507938791641,41.90869725578748
10.0,5.0,44.27420533032119,43.14752806324044,42.02078163749231,40.89409176736245
-30.0,10.0,42.06441103557244,41.03421138339855,40.004179320157455,38.97397397628395
-25.0,10.0,41.76261655335867,40.27340379446619,39.24699310671914,38.22025799209464
-20.0,10.0,40.668,39.64300000000001,38.6184,37.5934
-15.0,10.0,40.16800000000001,39.143,38.1184,37.0934
-10.0,10.0,39.66799999999999,38.643,37.61840000000001,36.59340000000001
-5.0,10.0,39.16799999999999,38.143,37.11840000000001,36.09340000000001
0.0,10.0,38.668,37.643,36.61839999999998,35.59339999999998
5.0,10.0,38.30013701185749,37.27340379446618,36.24699310671915,35.220257992094645
10.0,10.0,38.064411035572455,37.03421138339855,36.004179320157455,34.973973976283965
-30.0,15.0,34.41693081648684,32.92065691699539,32.03661545793271,31.15265765781979
-25.0,15.0,32.488206848108184,31.624618972331785,30.76087181931091,29.897285885939933
-20.0,15.0,31.579999999999984,30.726599999999983,29.87300000000002,29.01960000000001
-15.0,15.0,31.08,30.22660000000001,29.373000000000005,28.5196
-10.0,15.0,30.580000000000005,29.7266,28.873,28.01959999999999
-5.0,15.0,30.079999999999995,29.22659999999999,28.373,27.5196
0.0,15.0,29.580000000000005,28.7266,27.87300000000001,27.01960000000001
5.0,15.0,30.91693081648684,28.62461897233179,27.76087181931091,26.897285885939937
10.0,15.0,30.41693081648684,28.920656916995377,28.036615457932715,27.15265765781981
-30.0,20.0,23.84171385657752,23.13910466403096,22.43649005081809,21.73390281196998
-25.0,20.0,22.593104618859176,21.91116822134365,21.229230016939376,20.547300937323328
-20.0,20.0,21.718800000000016,21.04720000000002,20.375599999999984,19.70399999999999
-15.0,20.0,21.2188,20.54719999999999,19.87559999999999,19.204
-10.0,20.0,20.71879999999999,20.0472,19.3756,18.704000000000008
-5.0,20.0,20.2188,19.547200000000007,18.87559999999999,18.204
0.0,20.0,19.71879999999999,19.0472,18.3756,17.704000000000008
5.0,20.0,19.59310461885917,18.91116822134365,18.22923001693937,17.547300937323328
10.0,20.0,19.84171385657752,19.139104664030945,18.436490050818087,17.733902811969987
-30.0,25.0,12.298756458496973,11.98899462450525,11.492603098813555,10.996269438734512
-25.0,25.0,12.234190324110436,11.73193154150174,11.229667699604509,10.727423146244837
-20.0,25.0,11.858599999999988,11.35339999999998,10.848199999999997,10.343000000000014
-15.0,25.0,11.358599999999996,10.853400000000011,10.348200000000007,9.843000000000002
-10.0,25.0,10.858600000000006,10.353400000000002,9.848199999999997,9.34299999999999
-5.0,25.0,10.358599999999996,9.85339999999999,9.348200000000006,8.843
0.0,25.0,9.858600000000006,9.3534,8.848199999999995,8.34299999999999
5.0,25.0,9.234190324110433,8.731931541501735,8.229667699604505,7.727423146244838
10.0,25.0,8.48537097233131,7.988994624505228,7.492603098813565,6.996269438734525
-30.0,30.0,-0.050808108414038,-0.3212732015817267,-0.5918453980808681,-0.8623224618866204
-25.0,30.0,-2.3429121626210634,1.5037089328060862,1.1685848673063803,0.8334925127044635
-20.0,30.0,1.3386639638619842,1.0037089328060935,0.6685848673063896,0.3334925127044538
-15.0,30.0,-3.3429121626210705,0.5037089328060851,0.1685848673063811,-0.1665074872955375
-10.0,30.0,-3.842912162621065,0.0037089328060924,-0.3314151326936107,-0.6665074872955277
-5.0,30.0,-0.1613360361380098,-0.4962910671938986,-0.8314151326936193,-1.166507487295555
0.0,30.0,-4.842912162621063,-0.9962910671939074,-1.331415132693629,-1.6665074872955452
5.0,30.0,-5.342912162621065,-1.4962910671938998,-1.83141513269362,-2.1665074872955365
10.0,30.0,-4.050808108414048,-4.321273201581748,-4.591845398080869,-4.862322461886612
-30.0,35.0,-18.005535078487835,-13.72657881422997,-17.82252315979777,-13.775472889893468
-25.0,35.0,-14.201623385658593,-18.414068221344973,-14.25101543986518,-14.275472889893445
-20.0,35.0,-19.00553507848784,-18.91406822134497,-18.82252315979777,-18.730809334840146
-15.0,35.0,-15.20162338565855,-15.226578814230004,-15.251015439865196,-15.27547288989347
-10.0,35.0,-20.005535078487824,-19.91406822134497,-19.82252315979778,-15.775472889893466
-5.0,35.0,-20.50553507848785,-20.41406822134497,-20.32252315979777,-16.275472889893415
0.0,35.0,-16.701623385658575,-20.91406822134499,-16.7510154398652,-16.775472889893422
5.0,35.0,-21.50553507848785,-21.414068221344987,-17.251015439865203,-17.275472889893415
10.0,35.0,-22.00553507848785,-17.726578814229974,-17.751015439865185,-17.775472889893432
