id_A,iq_A,psi_f_Vs_if2,psi_f_Vs_if3,psi_f_Vs_if4,psi_f_Vs_if5
-30.0,-35.0,0.2739586822704223,0.4624920940519827,0.6520169886194392,0.8405504004009996
-25.0,-35.0,0.2794586822704223,0.4679920940519828,0.6575169886194393,0.8460504004009997
-20.0,-35.0,0.2849586822704223,0.4734920940519828,0.6630169886194393,0.8515504004009996
-15.0,-35.0,0.2904586822704224,0.4789920940519828,0.6685169886194393,0.8570504004009997
-10.0,-35.0,0.2959586822704224,0.4844920940519828,0.6740169886194393,0.8625504004009996
-5.0,-35.0,0.3014586822704224,0.4899920940519828,0.6795169886194392,0.8680504004009996
0.0,-35.0,0.3069586822704224,0.4954920940519828,0.6850169886194393,0.8735504004009996
5.0,-35.0,0.3124586822704224,0.5009920940519828,0.6905169886194392,0.8790504004009996
10.0,-35.0,0.3179586822704224,0.5064920940519828,0.6960169886194393,0.8845504004009996
-30.0,-30.0,0.2984888042735207,0.4898717208332845,0.6822336297040217,0.8736165462637854
-25.0,-30.0,0.304274518559235,0.4956574351189988,0.688019343989736,0.8794022605494997
-20.0,-30.0,0.3100602328449492,0.5014431494047131,0.6938050582754502,0.8851879748352139
-15.0,-30.0,0.3158459471306635,0.5072288636904274,0.6995907725611645,0.8909736891209282
-10.0,-30.0,0.3216316614163778,0.5130145779761417,0.7053764868468788,0.8967594034066425
-5.0,-30.0,0.3274173757020921,0.518800292261856,0.7111622011325931,0.9025451176923568
0.0,-30.0,0.3332030899878064,0.5245860065475703,0.7169479154183074,0.9083308319780712
5.0,-30.0,0.3389888042735207,0.5303717208332845,0.7227336297040217,0.9141165462637854
10.0,-30.0,0.3447745185592349,0.5361574351189988,0.728519343989736,0.9199022605494996
-30.0,-25.0,0.3266798465332923,0.5220990882340584,0.7184669867621244,0.9138862284628904
-25.0,-25.0,0.3327512751047209,0.5281705168054869,0.7245384153335529,0.9199576570343188
-20.0,-25.0,0.3388227036761495,0.5342419453769155,0.7306098439049815,0.9260290856057476
-15.0,-25.0,0.3448941322475781,0.540313373948344,0.73668127247641,0.932100514177176
-10.0,-25.0,0.3509655608190066,0.5463848025197726,0.7427527010478386,0.9381719427486046
-5.0,-25.0,0.3570369893904352,0.5524562310912012,0.7488241296192673,0.9442433713200332
0.0,-25.0,0.3631084179618637,0.5585276596626297,0.7548955581906958,0.9503147998914616
5.0,-25.0,0.3691798465332924,0.5645990882340584,0.7609669867621244,0.9563862284628905
10.0,-25.0,0.3752512751047209,0.5706705168054869,0.7670384153335529,0.9624576570343188
-30.0,-20.0,0.3572552277013506,0.5575742763583761,0.7587705588005944,0.95908960745762
-25.0,-20.0,0.3636123705584935,0.5639314192155189,0.7651277016577374,0.9654467503147628
-20.0,-20.0,0.3699695134156363,0.5702885620726619,0.7714848445148802,0.9718038931719056
-15.0,-20.0,0.3763266562727792,0.5766457049298047,0.777841987372023,0.9781610360290486
-10.0,-20.0,0.382683799129922,0.5830028477869476,0.7841991302291659,0.9845181788861914
-5.0,-20.0,0.3890409419870649,0.5893599906440904,0.7905562730863087,0.9908753217433344
0.0,-20.0,0.3953980848442078,0.5957171335012332,0.7969134159434516,0.9972324646004772
5.0,-20.0,0.4017552277013506,0.6020742763583762,0.8032705588005944,1.00358960745762
10.0,-20.0,0.4081123705584935,0.608431419215519,0.8096277016577373,1.0099467503147628
-30.0,-15.0,0.3867416949366203,0.5919112001937281,0.7978014010840022,1.00297090634111
-25.0,-15.0,0.3933845520794775,0.5985540573365853,0.8044442582268594,1.0096137634839668
-20.0,-15.0,0.4000274092223346,0.6051969144794425,0.8110871153697166,1.016256620626824
-15.0,-15.0,0.4066702663651917,0.6118397716222995,0.8177299725125736,1.0228994777696812
-10.0,-15.0,0.4133131235080489,0.6184826287651567,0.8243728296554308,1.0295423349125383
-5.0,-15.0,0.419955980650906,0.6251254859080139,0.831015686798288,1.0361851920553955
0.0,-15.0,0.4265988377937632,0.6317683430508709,0.837658543941145,1.042828049198253
5.0,-15.0,0.4332416949366203,0.6384112001937281,0.8443014010840022,1.0494709063411098
10.0,-15.0,0.4398845520794774,0.6450540573365853,0.8509442582268594,1.0561137634839668
-30.0,-10.0,0.4099210622034889,0.6185241102672018,0.8275527865281496,1.0361558345918624
-25.0,-10.0,0.4168496336320603,0.6254526816957732,0.834481357956721,1.043084406020434
-20.0,-10.0,0.4237782050606318,0.6323812531243446,0.8414099293852924,1.0500129774490057
-15.0,-10.0,0.4307067764892032,0.6393098245529161,0.8483385008138639,1.0569415488775769
-10.0,-10.0,0.4376353479177746,0.6462383959814875,0.8552670722424353,1.0638701203061482
-5.0,-10.0,0.4445639193463461,0.6531669674100589,0.8621956436710067,1.0707986917347196
0.0,-10.0,0.4514924907749175,0.6600955388386304,0.8691242150995782,1.077727263163291
5.0,-10.0,0.4584210622034889,0.6670241102672018,0.8760527865281496,1.0846558345918624
10.0,-10.0,0.4653496336320603,0.6739526816957732,0.882981357956721,1.091584406020434
-30.0,-5.0,0.4221842006634461,0.6316614647321833,0.8411387288009202,1.0506159928696572
-25.0,-5.0,0.4293984863777318,0.6388757504464689,0.8483530145152058,1.057830278583943
-20.0,-5.0,0.4366127720920176,0.6460900361607547,0.8555673002294916,1.0650445642982287
-15.0,-5.0,0.4438270578063032,0.6533043218750404,0.8627815859437773,1.0722588500125143
-10.0,-5.0,0.451041343520589,0.6605186075893261,0.869995871658063,1.0794731357268
-5.0,-5.0,0.4582556292348747,0.6677328933036119,0.8772101573723488,1.0866874214410858
0.0,-5.0,0.4654699149491604,0.6749471790178976,0.8844244430866345,1.0939017071553716
5.0,-5.0,0.4726842006634461,0.6821614647321833,0.8916387288009202,1.1
10.0,-5.0,0.4798984863777318,0.6893757504464689,0.8988530145152058,1.1
-30.0,0.0,0.4214826656583968,0.6291210628200293,0.8363338317844266,1.043972228946059
-25.0,0.0,0.4289826656583968,0.6366210628200294,0.8438338317844266,1.0514722289460587
-20.0,0.0,0.4364826656583968,0.6441210628200293,0.8513338317844266,1.0589722289460588
-15.0,0.0,0.4439826656583968,0.6516210628200294,0.8588338317844266,1.0664722289460586
-10.0,0.0,0.4514826656583968,0.6591210628200294,0.8663338317844266,1.0739722289460587
