id iq psi_d psi_q
-250	-250	6.02681114795	-166.252688687
-210	-250	14.9016830534	-162.955688609
-170	-250	23.4214583572	-159.100401451
-130	-250	31.6871132763	-155.51862314
-90	-250	39.76766541	-152.618242006
-50	-250	47.7114799604	-150.374211079
-10	-250	55.703644948	-148.538654926
-250	-210	6.44426229259	-154.886999666
-210	-210	15.447267277	-152.3777666
-170	-210	23.9626714503	-149.338997473
-130	-210	32.182054449	-147.090383992
-90	-210	40.2825941507	-145.667955439
-50	-210	48.4915090512	-144.274498419
-10	-210	56.9547865539	-142.618002878
-250	-170	6.45936443012	-143.296266553
-210	-170	15.6336089181	-142.176654133
-170	-170	24.126198438	-140.647808246
-130	-170	32.3772963418	-140.081972524
-90	-170	40.6976333604	-139.249223494
-50	-170	49.3732626272	-137.647423369
-10	-170	58.3521699906	-135.744946042
-250	-130	5.76061303292	-129.960625077
-210	-130	15.1333174461	-131.05523375
-170	-130	23.6922695077	-131.402006046
-130	-130	32.3131343168	-131.252377573
-90	-130	41.3304084345	-130.111027315
-50	-130	50.6055172855	-128.564957537
-10	-130	60.1117516355	-126.399895681
-250	-90	3.88455418372	-110.398839369
-210	-90	13.2873015002	-114.057636516
-170	-90	22.3859141822	-115.434897001
-130	-90	31.895366336	-116.469679971
-90	-90	41.7010955195	-116.689765895
-50	-90	51.5587191736	-115.571693912
-10	-90	61.6999744688	-113.775958501
-250	-50	0.752094908657	-76.4430785366
-210	-50	10.1005229237	-79.7639072099
-170	-50	19.6765032911	-81.8060257254
-130	-50	29.8736286959	-83.8588394502
-90	-50	40.4610296421	-85.3022991188
-50	-50	50.9502474476	-85.8792336402
-10	-50	62.8089281039	-86.6813123293
-250	-10	-1.31288658964	-25.0732245616
-210	-10	7.94832967665	-25.2419868117
-170	-10	17.8218898914	-24.8346464231
-130	-10	28.2357758125	-24.5417166646
-90	-10	39.0310886317	-24.1029035375
-50	-10	50.4764548873	-23.3983430679
-10	-10	66.3169911561	-22.2419435577
-250	30	-0.312926655576	32.662934057
-210	30	9.08026113639	36.6420411925
-170	30	19.044117663	40.2023947399
-130	30	29.5415408194	43.9883347085
-90	30	40.4705019818	47.5120563411
-50	30	51.8470439096	50.4870783404
-10	30	65.6723756043	53.6107213624
-250	70	2.92571594573	80.7424783304
-210	70	12.5992138852	86.5294709109
-170	70	22.3234882086	90.5630398775
-130	70	32.5696164403	94.689306861
-90	70	42.9812119526	97.603424101
-50	70	53.2119208687	99.2506958165
-10	70	63.701773229	100.416469185
-250	110	5.8659343421	110.697891389
-210	110	15.5406200639	115.492691059
-170	110	24.5545082729	117.577204703
-130	110	33.8253853452	119.301514835
-90	110	43.3017924265	119.726548919
-50	110	52.8727946797	119.534685774
-10	110	62.5638757384	117.952886421
-250	150	6.97848792387	128.469587333
-210	150	16.4126982953	129.96332229
-170	150	25.1378129478	130.503370523
-130	150	33.5895843286	131.12754944
-90	150	42.2489077185	131.028974194
-50	150	50.9947584576	130.297733756
-10	150	60.1865386798	129.071072363
-250	190	7.00074866145	141.57204924
-210	190	16.2373952256	141.003838526
-170	190	24.882644656	139.453296395
-130	190	32.9902189054	139.045003295
-90	190	41.0254265027	138.968641266
-50	190	49.2920525645	138.365642628
-10	190	58.0655110402	137.199251141
-250	230	6.38134530507	153.466815124
-210	230	15.3972372925	151.708368979
-170	230	23.9122948878	149.089279955
-130	230	32.01652566	146.801140837
-90	230	39.9944122535	145.185287011
-50	230	47.9139053487	144.28759242
-10	230	56.0713499735	143.195281424
