time_s,time_ms,id_ref_A,iq_ref_A,id_A,iq_A,ud_unclipped_V,uq_unclipped_V,ud_clipped_V,uq_clipped_V,xI_d_V,xI_q_V,duty_min,duty_max,saturation_norm_V
0.0032,3.2,-100,100,-108.5433766,107.2365271,-479.8415417,-69.32116668,-329.8444477,-45.16831488,-382.1780387,397.1455247,0,0.9505355789,113.7722597
0.0033,3.3,-100,100,-114.06001,106.2861018,-444.9342936,-78.0791395,-331.7852903,-66.18670004,-368.7926928,385.182575,0,1,77.39360855
0.0034,3.4,-100,100,-121.0632283,104.4028888,-394.3257533,-77.71733693,-317.3680697,-69.51455875,-348.7401754,376.8035287,0.0340595524,1,37.91502841
0.0035,3.5,-100,100,-126.6715669,103.095457,-345.1395252,-75.94589196,-312.3041474,-56.98837775,-323.3484333,370.9126286,0.1863039333,1,20.63168916
0.0036,3.6,-100,100,-132.1775621,103.9287105,-299.3040071,-87.46038882,-279.1231698,-83.17081944,-292.7148991,363.4359812,0.1175702325,0.9599622021,6.355287432e-14
0.0037,3.7,-100,100,-130.9407373,101.8065885,-266.4720205,-71.11389059,-266.4720205,-71.11389059,-263.258841,359.9979001,0.08837993899,0.857014357,7.105427358e-15
0.0038,3.8,-100,100,-128.2816227,100.5053006,-243.9541509,-56.38824749,-243.9541509,-56.38824749,-236.334301,359.036273,0.06528060413,0.7752496974,1.421085472e-14
0.0039,3.9,-100,100,-121.5748379,99.57858011,-243.0955211,-39.62656586,-243.0955211,-39.62656586,-215.7947232,359.8382684,0.05127240368,0.7666409581,3.351623381e-14
0.004,4,-100,100,-114.7941766,99.2863749,-251.2874539,-27.33777723,-251.2874539,-27.33777723,-201.7104394,361.1963535,0.0673720716,0.8708533308,6.070879796e-14
0.0041,4.1,-100,100,-109.428874,99.41564317,-261.2941353,-20.17316282,-261.2941353,-20.17316282,-192.7340061,362.3084309,0.1277872808,0.9523449953,5.695433295e-14
0.0042,4.2,-100,100,-105.7021736,99.70440204,-269.823021,-16.76171129,-269.823021,-16.76171129,-187.3054491,362.8709772,0.2327944577,0.9929268116,7.914262813e-14
0.0043,4.3,-100,100,-103.3269148,99.97988992,-275.9288356,-15.51487379,-275.9288356,-15.51487379,-184.138175,362.9092483,0.1454206856,0.9830572866,5.728578677e-14
0.0044,4.4,-100,100,-101.9021588,100.1676839,-279.7995477,-15.26213279,-279.7995477,-15.26213279,-182.3272906,362.5901325,0.05019362062,0.9224364182,5.753312401e-14
0.0045,4.5,-100,100,-101.0814258,100.2590029,-282.0101838,-15.32717829,-282.0101838,-15.32717829,-181.2977565,362.0972295,0,0.8178849177,0.1072640689
0.0046,4.6,-100,100,-100.617946,100.2760332,-283.146007,-15.40225414,-283.0410869,-15.37995269,-180.7094625,361.5719164,0,0.820026323,0.3921184774
0.0047,4.7,-100,100,-100.3340708,100.2467264,-283.7487729,-15.3660515,-283.3588025,-15.40703904,-180.3914219,361.1023765,0.04740700798,0.9263982031,3.197442311e-14
0.0048,4.8,-100,100,-100.1215161,100.1840141,-284.1685525,-15.11743522,-284.1685525,-15.11743522,-180.2757368,360.7521832,0.1411889927,0.9907916292,5.329070518e-15
0.0049,4.9,-100,100,-100.1011618,100.1528203,-284.054189,-15.18274089,-284.054189,-15.18274089,-180.1794292,360.461354,0.2231116676,1,2.62152068
0.005,5,-100,100,-100.0772339,100.1123488,-283.932281,-15.11656076,-281.3107603,-15.11656076,-180.1059013,360.2475454,0.1041208083,0.9777822991,5.709267256e-14
0.0051,5.1,-100,100,-99.51836782,99.98167956,-285.8322713,-13.86511675,-285.8322713,-13.86511675,-180.5644226,360.2824106,0.02458161539,0.8958578414,7.914262813e-14
0.0052,5.2,-100,100,-99.92470876,100.0624884,-284.8116574,-14.86440813,-284.8116574,-14.86440813,-180.636101,360.1634902,0,0.7763415349,2.766200165
0.0053,5.3,-100,100,-100.1011377,100.0643382,-284.1227557,-15.14418878,-281.371709,-14.85504213,-180.5398163,360.0410496,0.005758426894,0.8604421875,6.070879796e-14
0.0054,5.4,-100,100,-99.58320742,99.97210191,-285.9622798,-14.13117731,-285.9622798,-14.13117731,-180.9366093,360.0941419,0.07320596606,0.9536798573,5.859285502e-14
0.0055,5.5,-100,100,-100.0280675,100.0437205,-284.6714293,-15.05606108,-284.6714293,-15.05606108,-180.9098886,360.0109383,0.1809905025,1,0.5819399789
0.0056,5.6,-100,100,-100.1946177,100.0415251,-283.9081843,-15.24108963,-283.3389611,-15.1200975,-180.7246096,359.9319127,0.180220203,1,0.6110931762
0.0057,5.7,-100,100,-100.0991297,100.0127918,-284.03895,-14.98458068,-283.4312045,-15.04845731,-180.6302366,359.907569,0.07412003764,0.952794042,2.309263891e-14
0.0058,5.8,-100,100,-100.035714,99.98286517,-284.1086658,-14.70611931,-284.1086658,-14.70611931,-180.5962363,359.9401779,0.009840223372,0.8587729912,1.167675978e-13
0.0059,5.9,-100,100,-100.12257,100.0044817,-283.7732017,-14.90248883,-283.7732017,-14.90248883,-180.4795478,359.9316489,0,0.7762834115,2.410426221
0.006,6,-100,100,-100.1334201,100.0060532,-283.6156393,-14.90821255,-281.2052131,-14.90821255,-180.3525298,359.9201291,0.02291625822,0.8952309348,5.818755026e-14
0.0061,6.1,-100,100,-99.62068145,99.91636274,-285.4004836,-13.80213494,-285.4004836,-13.80213494,-180.7136469,360.0792975,0.1044445743,0.9748739206,2.842170943e-14
0.0062,6.2,-100,100,-99.98433356,100.0139365,-284.525179,-14.75822452,-284.525179,-14.75822452,-180.7285616,360.0527752,0.2236975446,1,2.6464004
0.0063,6.3,-100,100,-100.1346439,100.0325677,-283.9522438,-15.04735538,-281.3203406,-14.77073121,-180.6003786,359.9907963,0.1398180903,0.9939219818,1.776356839e-15
0.0064,6.4,-100,100,-99.62693228,99.95674106,-285.7737106,-14.10483236,-285.7737106,-14.10483236,-180.9555448,360.0731215,0.04650295787,0.9266887287,5.818755026e-14
0.0065,6.5,-100,100,-100.0447465,100.0335117,-284.5782754,-15.0126555,-284.5782754,-15.0126555,-180.9129454,360.0093461,0,0.8190122675,0.5531648698
