-0.999956 0.999999 -0.582822
-0.999957 0.999999 -0.582823
-0.999958 0.999999 -0.582824
-0.999959 0.999999 -0.582825
-0.999960 0.999999 -0.582826
-0.999960 0.999999 -0.582827
-0.999961 0.999999 -0.582828
-0.999962 0.999999 -0.582829
-0.999963 0.999999 -0.582830
-0.999964 0.999999 -0.582831
-0.999965 1.000000 -0.582832
-0.999966 1.000000 -0.582833
-0.999967 1.000000 -0.582834
-0.999967 1.000000 -0.582835
-0.999968 1.000000 -0.582836
-0.999969 1.000000 -0.582837
-0.999970 1.000000 -0.582838
-0.999971 1.000000 -0.582839
-0.999972 1.000000 -0.582840
-0.999973 1.000000 -0.582841
-0.999974 1.000000 -0.582842
-0.999974 1.000000 -0.582843
-0.999975 1.000000 -0.582844
-0.999976 1.000000 -0.582845
-0.999977 1.000000 -0.582846
-0.999978 1.000000 -0.582847
-0.999979 1.000000 -0.582848
-0.999980 1.000000 -0.582849
-0.999981 1.000000 -0.582850
-0.999982 1.000000 -0.582851
-0.999982 1.000000 -0.582852
-0.999983 1.000000 -0.582853
-0.999984 1.000000 -0.582854
-0.999985 1.000000 -0.582855
-0.999986 1.000000 -0.582856
-0.999987 1.000000 -0.582857
-0.999988 1.000000 -0.582858
-0.999989 1.000000 -0.582859
-0.999989 1.000000 -0.582860
-0.999990 1.000000 -0.582861
-0.999991 1.000000 -0.582862
-0.999992 1.000000 -0.582863
-0.999993 1.000000 -0.582864
-0.999994 1.000000 -0.582865
-0.999995 1.000000 -0.582866
-0.999996 1.000000 -0.582867
-0.999996 1.000000 -0.582868
-0.999997 1.000000 -0.582869
-0.999998 1.000000 -0.582870
-0.999999 1.000000 -0.582871
-1.000000 1.000000 -0.582872
-0.997295 0.966970 -0.619298
-0.996231 0.966936 -0.618050
-0.995167 0.966903 -0.616803
-0.994103 0.966871 -0.615555
-0.993039 0.966839 -0.614308
-0.991975 0.966808 -0.613060
-0.990911 0.966778 -0.611813
-0.989847 0.966748 -0.610565
-0.988783 0.966719 -0.609318
-0.987719 0.966690 -0.608070
-0.986655 0.966662 -0.606823
-0.985591 0.966634 -0.605575
-0.984527 0.966608 -0.604328
-0.983463 0.966581 -0.603080
-0.982399 0.966556 -0.601833
-0.981335 0.966531 -0.600585
-0.980271 0.966506 -0.599338
-0.979207 0.966483 -0.598090
-0.978143 0.966459 -0.596843
-0.977079 0.966437 -0.595595
-0.976015 0.966415 -0.594348
-0.974951 0.966393 -0.593100
-0.973887 0.966373 -0.591853
-0.972823 0.966353 -0.590605
-0.971759 0.966333 -0.589358
-0.970695 0.966314 -0.588110
-0.969631 0.966296 -0.586863
-0.968567 0.966278 -0.585615
-0.967503 0.966261 -0.584368
-0.966439 0.966244 -0.583120
-0.965375 0.966229 -0.581873
-0.964311 0.966213 -0.580625
-0.963247 0.966199 -0.579378
-0.962183 0.966185 -0.578130
-0.961119 0.966171 -0.576883
-0.960055 0.966158 -0.575635
-0.958991 0.966146 -0.574388
-0.957927 0.966135 -0.573140
-0.956863 0.966124 -0.571893
-0.955799 0.966113 -0.570645
-0.954735 0.966103 -0.569398
-0.953671 0.966094 -0.568150
-0.952607 0.966086 -0.566903
-0.951543 0.966078 -0.565655
-0.950479 0.966070 -0.564408
-0.949415 0.966064 -0.563160
-0.948351 0.966057 -0.561913
