id_A,iq_A,psi_d_Vs_if2,psi_d_Vs_if3,psi_d_Vs_if4,psi_d_Vs_if5
-30.0,-35.0,-0.5,-0.4613201156699446,-0.3379701156699445,-0.2191201156699445
-25.0,-35.0,-0.449756090273733,-0.3247560902737329,-0.1997560902737329,-0.0792560902737329
-20.0,-35.0,-0.2803362427993645,-0.1536862427993645,-0.0270362427993645,0.0951137572006354
-15.0,-35.0,-0.0922176119849266,0.0360823880150733,0.1643823880150733,0.2881823880150733
-10.0,-35.0,0.0786435945585439,0.2085935945585439,0.3385435945585439,0.4639935945585439
-5.0,-35.0,0.2090888025945397,0.3406888025945397,0.4722888025945397,0.5993888025945397
0.0,-35.0,0.3008929117397906,0.4341429117397907,0.5673929117397907,0.6961429117397907
5.0,-35.0,0.3627462338075361,0.4943462338075361,0.6259462338075361,0.7530462338075361
10.0,-35.0,0.4035793453994286,0.5335293453994285,0.6634793453994285,0.7889293453994286
-30.0,-30.0,-0.5,-0.4131094319964751,-0.2875709819964752,-0.1665319819964751
-25.0,-30.0,-0.4042165494574064,-0.2770275494574064,-0.1498390994574063,-0.0271500994574063
-20.0,-30.0,-0.2352788448401808,-0.1064398448401808,0.0223986051598191,0.1467376051598191
-15.0,-30.0,-0.0476423568828858,0.0828466431171141,0.2133350931171141,0.3393240931171142
-10.0,-30.0,0.1227367068034419,0.2548757068034419,0.3870141568034419,0.5146531568034419
-5.0,-30.0,0.2526997719822949,0.3864887719822949,0.5202772219822949,0.6495662219822949
0.0,-30.0,0.3440217382704029,0.4794607382704029,0.6148991882704029,0.7458381882704029
5.0,-30.0,0.4053929174810055,0.5391819174810055,0.6729703674810055,0.8022593674810055
10.0,-30.0,0.4457438862157551,0.5778828862157551,0.710021336215755,0.8376603362157551
-30.0,-25.0,-0.4969405238332099,-0.3695496738332099,-0.2421588238332098,-0.1192679738332098
-25.0,-25.0,-0.362990784151284,-0.2339499341512839,-0.1049090841512839,0.019631765848716
-20.0,-25.0,-0.1945352223912012,-0.0638443723912012,0.0668464776087987,0.1930373276087987
-15.0,-25.0,-0.0073808772910491,0.1249599727089509,0.2573008227089509,0.3851416727089509
-10.0,-25.0,0.1625160435381357,0.2965068935381357,0.4304977435381357,0.5599885935381358
