kind,t_norm,t_abs,event_type,voltage_vector,sector,psi_alpha,psi_beta,psi_abs,T,theta_s_unwrapped,theta_r,psi_cmd,T_cmd,psi_inner,psi_outer,T_low,T_ref,T_high,omega_r,u_active,source,psi_dot,T_dot,flux_safe,torque_safe,is_T_low,is_T_high,is_psi_inner,is_psi_outer,is_sector_boundary,is_fallback
start,0.0,21.422572884133658,start_interp,V2,1,0.9136305405648335,-1.4432899320127035e-15,0.9136305405648335,0.44793749981712877,18.84955592153876,18.385098798990303,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.47656101718380933,0.08666621151651922,1,1,0,0,0,0,0,0
event,0.15470695049979355,21.57727983463345,psi_outer,V2,1,0.990984015814731,0.1339801492748425,1.0,0.4463651720559739,18.98394018287946,18.521240915430123,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.47656101718380933,0.08666621151651922,1,1,0,0,0,1,0,0
event,0.5341687455323125,21.95674162966597,sector_boundary,V3,1,0.801253118298472,0.46260370353864677,0.9252074070772982,0.49513256162673597,19.373154697137053,18.855167295058738,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.3794617950325204,0.04045388890838805,1,1,0,0,0,0,1,0
event,0.6211693212568292,22.043742205390487,T_high,V3,1,0.7577528304362143,0.5379484122599487,0.9292888928030367,0.5099999999999982,19.46691259197191,18.93172780169631,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-2.6999371019928527e-15,0.1744921926032524,1,1,0,1,0,0,0,0
event,0.6899288467295008,22.11250173086316,T_low,V6,2,0.7921325931725507,0.47840091644845095,0.9253872065384239,0.38999999999999846,19.392867776813635,18.992236184112265,-1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.09362059139875278,-1.678514546351508,1,1,1,0,0,0,0,0
event,1.0511495915101818,22.47372247564384,psi_outer,V3,2,0.6115222207822105,0.7912272578024555,1.0,0.43699832736422345,19.762369211394653,19.310110439519264,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,0.019711802932822025,0.1845485770372009,1,1,0,0,0,1,0,1
event,1.233766896826964,22.65633978096062,psi_inner,V4,2,0.42890491546542875,0.7912272578024555,0.9,0.43748488483908343,19.92361345379077,19.47081366819803,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.6115222207822104,-0.07984773649091939,1,1,0,0,1,0,0,0
event,1.4045763852462017,22.82714926937986,psi_outer,V3,2,0.3435001712558107,0.9391526139809381,1.0,0.43369088961878316,20.069710932753704,19.621126018006958,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.5230782752121238,0.06023278554341116,1,1,0,0,0,1,0,0
event,1.74807655650201,23.170649440635668,sector_boundary,V4,2,3.2751579226442118e-15,0.9391526139809381,0.9391526139809381,0.4767432398380633,20.420352248333653,19.92340616871207,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.3435001712558106,0.05330015573550191,1,1,0,0,0,0,1,0
event,1.9818323321527274,23.404405216286385,T_high,V4,2,-0.23375577565071387,0.9391526139809381,0.9678064863376851,0.5099999999999982,20.664296041560302,20.1291112512847,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-3.364889637038364e-15,0.16243798919010632,1,1,0,1,0,0,0,0
event,2.0526890300090983,23.475261914142756,T_low,V1,3,-0.16289907779434123,0.9391526139809381,0.9531756091578696,0.38999999999999846,20.59209673809968,20.19146514539831,-1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.2415315240707658,-1.6194267113769583,1,1,1,0,0,0,0,0
event,2.2332901234705673,23.655863007604225,psi_outer,V4,3,-0.3435001712558104,0.9391526139809382,1.0,0.408307736652485,20.770993563913606,20.350394107644405,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,0.17090143330279153,0.14152006917405974,1,1,0,0,0,1,0,1
event,2.404099611889805,23.826672496023463,psi_inner,V5,3,-0.4289049154654287,0.7912272578024555,0.9,0.4044566002257132,20.91709104287654,20.500706457453333,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.6415799361101475,-0.1031001256466023,1,1,0,0,1,0,0,0
event,2.586716917206587,24.009289801340245,psi_outer,V4,3,-0.6115222207822105,0.7912272578024555,1.0,0.4049513289966912,21.078335285272658,20.6614096861321,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.4765610171838098,0.08855087990002637,1,1,0,0,0,1,0,0
event,2.966178712239106,24.388751596372764,sector_boundary,V5,3,-0.8012531182984693,0.4626037035386519,0.9252074070772984,0.4548588688837335,21.46754979953025,20.995336065760714,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.37946179503252,0.041334861121339224,1,1,0,0,0,0,1,0
event,3.3456405072716286,24.768213391405286,psi_outer,V5,3,-0.9909840158147308,0.13398014927484359,1.0,0.5033763604074613,21.85676431378785,21.329262445389332,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-2.8799329087923755e-15,0.17885965040527002,1,1,0,0,0,1,0,0
event,3.5282578125884108,24.95083069672207,psi_inner,V6,4,-0.8996753631563401,-0.02417107630014806,0.9,0.5038437589600712,22.018008556183965,21.4899656740681,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.6115222207822113,-0.07670562062593309,1,1,0,0,1,0,0,0
event,3.6990673010076485,25.121640185141306,psi_outer,V5,4,-0.9850801073659584,-0.17209643247863066,1.0,0.5001985107760484,22.164106035146897,21.640278023877027,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.5230782752121229,0.05785951575947449,1,1,0,0,0,1,0,0
event,3.8186772687475425,25.2412501528812,T_high,V6,4,-0.9252751234960115,-0.2756817030872158,0.965471105511515,0.5099999999999985,22.28071958576373,21.745534795488133,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.34350017125581184,0.051220885117229185,1,1,0,1,0,0,0,0
event,3.9008372186105476,25.323410102744205,T_low,V2,4,-0.8841951485645089,-0.20452909933219746,0.9075424029865788,0.39000000000000196,22.218467144068946,21.817835551367576,-1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.72646909470014,-1.3692049456444468,1,1,1,0,0,0,0,0
event,3.927950334417808,25.350523218551466,psi_inner,V6,4,-0.8706385906608777,-0.22800974639703606,0.9,0.3945601550585013,22.24728421489883,21.841695093277966,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.2919645160109826,0.16009948068113244,1,1,0,0,1,0,0,0
event,3.9707823635689614,25.39335524770262,T_low,V5,4,-0.8920546052364552,-0.26510337173757187,0.9306133549601558,0.3899999999999987,22.280018871632354,21.879387278930984,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.7030905866896887,-0.08259591417565117,1,1,1,0,0,0,0,0
event,4.187223411633539,25.609796295767197,sector_boundary,V6,4,-0.7838340812041658,-0.4525468177832259,0.9050936355664551,0.4303603502537509,22.514747350726847,22.069855401227812,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,-0.23257891895807556,0.15202011109937627,1,1,0,0,0,0,1,1
event,4.612435724316391,26.03500860845005,psi_outer,V6,4,-0.5712279248627402,-0.820791482568507,1.0,0.4880913336476777,22.953943798793972,22.44404223638872,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,-2.207949946609201e-15,0.20296974207251212,1,1,0,0,0,1,0,1
event,4.814473532649732,26.23704641678339,psi_inner,V1,5,-0.36919011652940065,-0.820791482568507,0.9,0.49464274462502217,23.13925922594373,22.62183550772206,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.5712279248627402,-0.05167675340876907,1,1,0,0,1,0,0,0
event,4.971557245819252,26.39413012995291,psi_outer,V6,5,-0.29064825994464016,-0.9568299686941003,1.0,0.48553186219863065,23.267040625838618,22.76006917531124,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.5847013520550209,0.018587676997576873,1,1,0,0,0,1,0,0
event,5.195382425467194,26.617955309600852,T_high,V1,5,-0.06682308029669659,-0.9568299686941003,0.9591605251737019,0.5100000000000015,23.49222012367703,22.957035333401432,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.29064825994464016,0.0671662162411095,1,1,0,1,0,0,0,0
event,5.267838961343518,26.690411845477175,psi_inner,V3,5,-0.1030513482348579,-0.8940807679549863,0.8999999999999999,0.4135909460263718,23.447191719066222,23.020797084972596,-1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.8290869974022315,-1.2583715071549935,1,1,0,0,1,0,0,0
event,5.280838087764042,26.7034109718977,T_low,V4,5,-0.11605047465538387,-0.8940807679549863,0.9015809072372362,0.3899999999999987,23.432867908924027,23.032236316222658,1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.11450149803873089,-1.806179234796202,1,1,1,0,0,0,0,0
event,5.293837214184567,26.716410098318224,psi_inner,V1,5,-0.10305134823485855,-0.8940807679549863,0.9,0.39265453686115864,23.447191719066222,23.04367554747272,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,-0.12871886895986265,0.2025201603700264,1,1,0,0,1,0,0,1
event,5.306634280067463,26.72920716420112,T_low,V6,5,-0.09665281529341062,-0.9051633521034772,0.9103089918787717,0.3899999999999987,23.455568558151036,23.05493696544967,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.8030788710740986,-0.20041722203867934,1,1,1,0,0,0,0,0
event,5.403287095360874,26.82585997949453,sector_boundary,V1,5,-4.579669976578771e-16,-0.9051633521034772,0.9051633521034772,0.40954335574049444,23.561944901923443,23.13999144290787,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,-0.10617583277292524,0.19550604692854245,1,1,0,0,0,0,1,1
event,5.828350979981522,27.25092386411518,psi_outer,V1,6,0.4250638846206492,-0.9051633521034772,1.0,0.46791465026262663,24.000977364365454,23.514047661374043,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-5.059495577164317e-16,0.20505827522101508,1,1,0,0,0,1,0,0
event,6.0303151684798415,27.4528880526135,psi_inner,V2,6,0.5260459788698092,-0.7302572342092233,0.9,0.47452730321182907,24.186203092684934,23.691776147252565,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.5713625151859651,-0.0524097237169979,1,1,0,0,1,0,0,0
event,6.187441475263583,27.61001435939724,psi_outer,V1,6,0.6831722856535499,-0.7302572342092233,1.0,0.4653194927918984,24.314042824773708,23.830047297222258,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.5844955320775658,0.018971073498316303,1,1,0,0,0,1,0,0
event,6.4782766485593655,27.900849532693023,sector_boundary,V2,6,0.8285898723014413,-0.47838658582102583,0.9567731716420651,0.4996201372585033,24.609142453120043,24.085982249722548,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.2908351732957749,0.06795521981880132,1,1,0,0,0,0,1,0
event,6.551993307754465,27.974566191888123,T_high,V2,1,0.8654482018989919,-0.4145460862759487,0.9596087993640453,0.5100000000000015,24.686037700089823,24.150852909814237,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,8.238717084123608e-15,0.14308611794564324,1,1,0,1,0,0,0,1
event,6.62196344443225,28.044536328565908,T_low,V5,1,0.8304631335600992,-0.47514200214518004,0.9567805069110623,0.3899999999999987,24.61305822279205,24.21242663009069,-1,-1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.0768194906549032,-1.6506849608169043,1,1,1,0,0,0,0,0
event,6.909052095210701,28.331624979344358,psi_outer,V2,1,0.974007458949325,-0.22651593743284204,1.0,0.4251951073403616,24.904242081466364,24.465064642775726,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,fallback_safe,0.003915759665107607,0.15208526445350518,1,1,0,0,0,1,0,1
event,7.066178401994442,28.4887512861281,psi_inner,V3,1,0.8954443055574545,-0.09044056415529535,0.9,0.4157306508360905,25.032081813555138,24.60333579274542,-1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,-0.6831722856535499,-0.1355324346387731,1,1,0,0,1,0,0,0
end,7.170610170115896,28.593183054249554,end_interp,V2,1,0.947660189618181,8.923417560424696e-15,0.947660189618181,0.4236812210801659,25.132741228718345,24.695235748692298,1,1,0.9,1.0,0.39,0.45,0.51,0.88,1.0,table_feasible,0.41044258520849475,0.12115028313318371,1,1,0,0,0,0,0,0
