Angle_el,Psi_d,Psi_q
298.242678,0.038376,-0.025852
299.748954,0.038159,-0.026148
301.255230,0.038030,-0.026298
302.761506,0.037791,-0.026459
304.267782,0.037440,-0.026652
305.774059,0.037118,-0.026826
307.280335,0.036922,-0.026969
308.786611,0.036825,-0.027084
310.292887,0.036702,-0.027169
311.799163,0.036464,-0.027179
313.305439,0.036152,-0.027096
314.811715,0.035892,-0.026965
316.317992,0.035739,-0.026815
317.824268,0.035641,-0.026599
319.330544,0.035509,-0.026364
320.836820,0.035366,-0.026168
322.343096,0.035339,-0.026002
323.849372,0.035507,-0.025814
325.355649,0.035770,-0.025613
326.861925,0.035969,-0.025391
328.368201,0.036088,-0.025153
329.874477,0.036211,-0.024876
331.380753,0.036378,-0.024599
332.887029,0.036583,-0.024339
334.393305,0.036784,-0.024103
335.899582,0.037008,-0.023849
337.405858,0.037324,-0.023596
338.912134,0.037731,-0.023349
340.418410,0.038092,-0.023134
341.924686,0.038381,-0.022919
343.430962,0.038653,-0.022688
344.937238,0.038967,-0.022432
346.443515,0.039311,-0.022189
347.949791,0.039706,-0.021984
349.456067,0.040184,-0.021821
350.962343,0.040914,-0.021498
352.468619,0.042116,-0.020815
353.974895,0.043399,-0.020179
355.481172,0.043267,-0.020604
356.987448,0.041252,-0.022167
358.493724,0.038997,-0.023670
360.000000,0.037766,-0.024470
